Province_State,Country_Region,Lat,Long,Date,Population,Confirmed,Deaths,Combined_Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
,Australia,-35.308056,149.124444,2020-01-22,25499884,0,0,Australia,,,,
,Australia,-35.308056,149.124444,2020-01-23,25499884,0,0,Australia,0.0,0.0,,
,Australia,-35.308056,149.124444,2020-01-24,25499884,0,0,Australia,0.0,0.0,,
,Australia,-35.308056,149.124444,2020-01-25,25499884,0,0,Australia,0.0,0.0,,
,Australia,-35.308056,149.124444,2020-01-26,25499884,4,0,Australia,4.0,0.0,,
,Australia,-35.308056,149.124444,2020-01-27,25499884,5,0,Australia,1.0,0.0,,
,Australia,-35.308056,149.124444,2020-01-28,25499884,5,0,Australia,0.0,0.0,,
,Australia,-35.308056,149.124444,2020-01-29,25499884,6,0,Australia,1.0,0.0,0.8571428571428571,0.0
,Australia,-35.308056,149.124444,2020-01-30,25499884,9,0,Australia,3.0,0.0,1.2857142857142858,0.0
,Australia,-35.308056,149.124444,2020-01-31,25499884,9,0,Australia,0.0,0.0,1.2857142857142858,0.0
,Australia,-35.308056,149.124444,2020-02-01,25499884,12,0,Australia,3.0,0.0,1.7142857142857142,0.0
,Australia,-35.308056,149.124444,2020-02-02,25499884,12,0,Australia,0.0,0.0,1.1428571428571428,0.0
,Australia,-35.308056,149.124444,2020-02-03,25499884,12,0,Australia,0.0,0.0,1.0,0.0
,Australia,-35.308056,149.124444,2020-02-04,25499884,13,0,Australia,1.0,0.0,1.1428571428571428,0.0
,Australia,-35.308056,149.124444,2020-02-05,25499884,13,0,Australia,0.0,0.0,1.0,0.0
,Australia,-35.308056,149.124444,2020-02-06,25499884,14,0,Australia,1.0,0.0,0.7142857142857143,0.0
,Australia,-35.308056,149.124444,2020-02-07,25499884,15,0,Australia,1.0,0.0,0.8571428571428571,0.0
,Australia,-35.308056,149.124444,2020-02-08,25499884,15,0,Australia,0.0,0.0,0.42857142857142855,0.0
,Australia,-35.308056,149.124444,2020-02-09,25499884,15,0,Australia,0.0,0.0,0.42857142857142855,0.0
,Australia,-35.308056,149.124444,2020-02-10,25499884,15,0,Australia,0.0,0.0,0.42857142857142855,0.0
,Australia,-35.308056,149.124444,2020-02-11,25499884,15,0,Australia,0.0,0.0,0.2857142857142857,0.0
,Australia,-35.308056,149.124444,2020-02-12,25499884,15,0,Australia,0.0,0.0,0.2857142857142857,0.0
,Australia,-35.308056,149.124444,2020-02-13,25499884,15,0,Australia,0.0,0.0,0.14285714285714285,0.0
,Australia,-35.308056,149.124444,2020-02-14,25499884,15,0,Australia,0.0,0.0,0.0,0.0
,Australia,-35.308056,149.124444,2020-02-15,25499884,15,0,Australia,0.0,0.0,0.0,0.0
,Australia,-35.308056,149.124444,2020-02-16,25499884,15,0,Australia,0.0,0.0,0.0,0.0
,Australia,-35.308056,149.124444,2020-02-17,25499884,15,0,Australia,0.0,0.0,0.0,0.0
,Australia,-35.308056,149.124444,2020-02-18,25499884,15,0,Australia,0.0,0.0,0.0,0.0
,Australia,-35.308056,149.124444,2020-02-19,25499884,15,0,Australia,0.0,0.0,0.0,0.0
,Australia,-35.308056,149.124444,2020-02-20,25499884,15,0,Australia,0.0,0.0,0.0,0.0
,Australia,-35.308056,149.124444,2020-02-21,25499884,15,0,Australia,0.0,0.0,0.0,0.0
,Australia,-35.308056,149.124444,2020-02-22,25499884,15,0,Australia,0.0,0.0,0.0,0.0
,Australia,-35.308056,149.124444,2020-02-23,25499884,15,0,Australia,0.0,0.0,0.0,0.0
,Australia,-35.308056,149.124444,2020-02-24,25499884,15,0,Australia,0.0,0.0,0.0,0.0
,Australia,-35.308056,149.124444,2020-02-25,25499884,15,0,Australia,0.0,0.0,0.0,0.0
,Australia,-35.308056,149.124444,2020-02-26,25499884,15,0,Australia,0.0,0.0,0.0,0.0
,Australia,-35.308056,149.124444,2020-02-27,25499884,15,0,Australia,0.0,0.0,0.0,0.0
,Australia,-35.308056,149.124444,2020-02-28,25499884,15,0,Australia,0.0,0.0,0.0,0.0
,Australia,-35.308056,149.124444,2020-02-29,25499884,25,0,Australia,10.0,0.0,1.4285714285714286,0.0
,Australia,-35.308056,149.124444,2020-03-01,25499884,27,1,Australia,2.0,1.0,1.7142857142857142,0.14285714285714285
,Australia,-35.308056,149.124444,2020-03-02,25499884,30,1,Australia,3.0,0.0,2.142857142857143,0.14285714285714285
,Australia,-35.308056,149.124444,2020-03-03,25499884,39,1,Australia,9.0,0.0,3.4285714285714284,0.14285714285714285
,Australia,-35.308056,149.124444,2020-03-04,25499884,52,2,Australia,13.0,1.0,5.285714285714286,0.2857142857142857
,Australia,-35.308056,149.124444,2020-03-05,25499884,55,2,Australia,3.0,0.0,5.714285714285714,0.2857142857142857
,Australia,-35.308056,149.124444,2020-03-06,25499884,60,2,Australia,5.0,0.0,6.428571428571429,0.2857142857142857
,Australia,-35.308056,149.124444,2020-03-07,25499884,63,2,Australia,3.0,0.0,5.428571428571429,0.2857142857142857
,Australia,-35.308056,149.124444,2020-03-08,25499884,76,3,Australia,13.0,1.0,7.0,0.2857142857142857
,Australia,-35.308056,149.124444,2020-03-09,25499884,91,3,Australia,15.0,0.0,8.714285714285714,0.2857142857142857
,Australia,-35.308056,149.124444,2020-03-10,25499884,107,3,Australia,16.0,0.0,9.714285714285714,0.2857142857142857
,Australia,-35.308056,149.124444,2020-03-11,25499884,128,3,Australia,21.0,0.0,10.857142857142858,0.14285714285714285
,Australia,-35.308056,149.124444,2020-03-12,25499884,128,3,Australia,0.0,0.0,10.428571428571429,0.14285714285714285
,Australia,-35.308056,149.124444,2020-03-13,25499884,200,3,Australia,72.0,0.0,20.0,0.14285714285714285
,Australia,-35.308056,149.124444,2020-03-14,25499884,250,3,Australia,50.0,0.0,26.714285714285715,0.14285714285714285
,Australia,-35.308056,149.124444,2020-03-15,25499884,297,3,Australia,47.0,0.0,31.571428571428573,0.0
,Australia,-35.308056,149.124444,2020-03-16,25499884,377,3,Australia,80.0,0.0,40.857142857142854,0.0
,Australia,-35.308056,149.124444,2020-03-17,25499884,452,5,Australia,75.0,2.0,49.285714285714285,0.2857142857142857
,Australia,-35.308056,149.124444,2020-03-18,25499884,568,6,Australia,116.0,1.0,62.857142857142854,0.42857142857142855
,Australia,-35.308056,149.124444,2020-03-19,25499884,681,6,Australia,113.0,0.0,79.0,0.42857142857142855
,Australia,-35.308056,149.124444,2020-03-20,25499884,791,7,Australia,110.0,1.0,84.42857142857143,0.5714285714285714
,Australia,-35.308056,149.124444,2020-03-21,25499884,1071,7,Australia,280.0,0.0,117.28571428571429,0.5714285714285714
,Australia,-35.308056,149.124444,2020-03-22,25499884,1549,7,Australia,478.0,0.0,178.85714285714286,0.5714285714285714
,Australia,-35.308056,149.124444,2020-03-23,25499884,1682,7,Australia,133.0,0.0,186.42857142857142,0.5714285714285714
,Australia,-35.308056,149.124444,2020-03-24,25499884,2044,8,Australia,362.0,1.0,227.42857142857142,0.42857142857142855
,Australia,-35.308056,149.124444,2020-03-25,25499884,2364,8,Australia,320.0,0.0,256.57142857142856,0.2857142857142857
,Australia,-35.308056,149.124444,2020-03-26,25499884,2810,13,Australia,446.0,5.0,304.14285714285717,1.0
,Australia,-35.308056,149.124444,2020-03-27,25499884,3143,13,Australia,333.0,0.0,336.0,0.8571428571428571
,Australia,-35.308056,149.124444,2020-03-28,25499884,3640,14,Australia,497.0,1.0,367.0,1.0
,Australia,-35.308056,149.124444,2020-03-29,25499884,3984,16,Australia,344.0,2.0,347.85714285714283,1.2857142857142858
,Australia,-35.308056,149.124444,2020-03-30,25499884,4361,17,Australia,377.0,1.0,382.7142857142857,1.4285714285714286
,Australia,-35.308056,149.124444,2020-03-31,25499884,4559,18,Australia,198.0,1.0,359.2857142857143,1.4285714285714286
,Australia,-35.308056,149.124444,2020-04-01,25499884,4862,20,Australia,303.0,2.0,356.85714285714283,1.7142857142857142
,Australia,-35.308056,149.124444,2020-04-02,25499884,5116,24,Australia,254.0,4.0,329.42857142857144,1.5714285714285714
,Australia,-35.308056,149.124444,2020-04-03,25499884,5330,28,Australia,214.0,4.0,312.42857142857144,2.142857142857143
