Province_State,Country_Region,Lat,Long,Date,Population,Confirmed,Deaths,Combined_Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
,Canada,45.4,-75.666667,2020-01-22,37742154,0,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-01-23,37742154,0,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-01-24,37742154,0,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-01-25,37742154,0,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-01-26,37742154,1,0,Canada,1,0,0,0
,Canada,45.4,-75.666667,2020-01-27,37742154,1,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-01-28,37742154,2,0,Canada,1,0,0,0
,Canada,45.4,-75.666667,2020-01-29,37742154,2,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-01-30,37742154,2,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-01-31,37742154,4,0,Canada,2,0,0,0
,Canada,45.4,-75.666667,2020-02-01,37742154,4,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-02,37742154,4,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-03,37742154,4,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-04,37742154,4,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-05,37742154,5,0,Canada,1,0,0,0
,Canada,45.4,-75.666667,2020-02-06,37742154,5,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-07,37742154,7,0,Canada,2,0,0,0
,Canada,45.4,-75.666667,2020-02-08,37742154,7,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-09,37742154,7,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-10,37742154,7,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-11,37742154,7,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-12,37742154,7,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-13,37742154,7,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-14,37742154,7,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-15,37742154,7,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-16,37742154,7,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-17,37742154,8,0,Canada,1,0,0,0
,Canada,45.4,-75.666667,2020-02-18,37742154,8,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-19,37742154,8,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-20,37742154,8,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-21,37742154,9,0,Canada,1,0,0,0
,Canada,45.4,-75.666667,2020-02-22,37742154,9,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-23,37742154,9,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-24,37742154,10,0,Canada,1,0,0,0
,Canada,45.4,-75.666667,2020-02-25,37742154,12,0,Canada,2,0,0,0
,Canada,45.4,-75.666667,2020-02-26,37742154,12,0,Canada,0,0,0,0
,Canada,45.4,-75.666667,2020-02-27,37742154,14,0,Canada,2,0,0,0
,Canada,45.4,-75.666667,2020-02-28,37742154,15,0,Canada,1,0,0,0
,Canada,45.4,-75.666667,2020-02-29,37742154,21,0,Canada,6,0,1,0
,Canada,45.4,-75.666667,2020-03-01,37742154,26,0,Canada,5,0,2,0
,Canada,45.4,-75.666667,2020-03-02,37742154,32,0,Canada,6,0,3,0
,Canada,45.4,-75.666667,2020-03-03,37742154,37,0,Canada,5,0,3,0
,Canada,45.4,-75.666667,2020-03-04,37742154,42,0,Canada,5,0,4,0
,Canada,45.4,-75.666667,2020-03-05,37742154,46,0,Canada,4,0,4,0
,Canada,45.4,-75.666667,2020-03-06,37742154,60,0,Canada,14,0,6,0
,Canada,45.4,-75.666667,2020-03-07,37742154,64,0,Canada,4,0,6,0
,Canada,45.4,-75.666667,2020-03-08,37742154,74,0,Canada,10,0,6,0
,Canada,45.4,-75.666667,2020-03-09,37742154,88,1,Canada,14,1,8,0
,Canada,45.4,-75.666667,2020-03-10,37742154,92,1,Canada,4,0,7,0
,Canada,45.4,-75.666667,2020-03-11,37742154,127,1,Canada,35,0,12,0
,Canada,45.4,-75.666667,2020-03-12,37742154,141,1,Canada,14,0,13,0
,Canada,45.4,-75.666667,2020-03-13,37742154,213,1,Canada,72,0,21,0
,Canada,45.4,-75.666667,2020-03-14,37742154,236,1,Canada,23,0,24,0
,Canada,45.4,-75.666667,2020-03-15,37742154,296,1,Canada,60,0,31,0
,Canada,45.4,-75.666667,2020-03-16,37742154,450,4,Canada,154,3,51,0
,Canada,45.4,-75.666667,2020-03-17,37742154,532,6,Canada,82,2,62,0
,Canada,45.4,-75.666667,2020-03-18,37742154,732,11,Canada,200,5,86,1
,Canada,45.4,-75.666667,2020-03-19,37742154,921,11,Canada,189,0,111,1
,Canada,45.4,-75.666667,2020-03-20,37742154,1175,15,Canada,254,4,137,2
,Canada,45.4,-75.666667,2020-03-21,37742154,1653,19,Canada,478,4,202,2
,Canada,45.4,-75.666667,2020-03-22,37742154,2045,22,Canada,392,3,249,3
,Canada,45.4,-75.666667,2020-03-23,37742154,2600,29,Canada,555,7,307,3
,Canada,45.4,-75.666667,2020-03-24,37742154,3185,34,Canada,585,5,379,4
,Canada,45.4,-75.666667,2020-03-25,37742154,3697,47,Canada,512,13,423,5
,Canada,45.4,-75.666667,2020-03-26,37742154,4550,59,Canada,853,12,518,6
,Canada,45.4,-75.666667,2020-03-27,37742154,5257,66,Canada,707,7,583,7
,Canada,45.4,-75.666667,2020-03-28,37742154,6085,83,Canada,828,17,633,9
,Canada,45.4,-75.666667,2020-03-29,37742154,6993,98,Canada,908,15,706,10
,Canada,45.4,-75.666667,2020-03-30,37742154,8140,117,Canada,1147,19,791,12
,Canada,45.4,-75.666667,2020-03-31,37742154,9246,152,Canada,1106,35,865,16
,Canada,45.4,-75.666667,2020-04-01,37742154,10527,175,Canada,1281,23,975,18
,Canada,45.4,-75.666667,2020-04-02,37742154,12219,224,Canada,1692,49,1095,23
,Canada,45.4,-75.666667,2020-04-03,37742154,13559,277,Canada,1340,53,1186,30
,Canada,45.4,-75.666667,2020-04-04,37742154,14917,360,Canada,1358,83,1261,39
,Canada,45.4,-75.666667,2020-04-05,37742154,16159,435,Canada,1242,75,1309,48
,Canada,45.4,-75.666667,2020-04-06,37742154,17525,502,Canada,1366,67,1340,55
,Canada,45.4,-75.666667,2020-04-07,37742154,18858,580,Canada,1333,78,1373,61
,Canada,45.4,-75.666667,2020-04-08,37742154,20165,669,Canada,1307,89,1376,70
,Canada,45.4,-75.666667,2020-04-09,37742154,21540,772,Canada,1375,103,1331,78
,Canada,45.4,-75.666667,2020-04-10,37742154,22777,867,Canada,1237,95,1316,84
