Province_State,Country_Region,Lat,Long,Date,Population,Confirmed,Deaths,Combined_Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
,China,39.916667, 116.383333,2020-01-22,1439323776,548,17,China,0,0,0,0
,China,39.916667, 116.383333,2020-01-23,1439323776,643,18,China,95,1,0,0
,China,39.916667, 116.383333,2020-01-24,1439323776,920,26,China,277,8,0,0
,China,39.916667, 116.383333,2020-01-25,1439323776,1406,42,China,486,16,0,0
,China,39.916667, 116.383333,2020-01-26,1439323776,2075,56,China,669,14,0,0
,China,39.916667, 116.383333,2020-01-27,1439323776,2877,82,China,802,26,0,0
,China,39.916667, 116.383333,2020-01-28,1439323776,5509,131,China,2632,49,0,0
,China,39.916667, 116.383333,2020-01-29,1439323776,6087,133,China,578,2,791,16
,China,39.916667, 116.383333,2020-01-30,1439323776,8141,171,China,2054,38,1071,21
,China,39.916667, 116.383333,2020-01-31,1439323776,9802,213,China,1661,42,1268,26
,China,39.916667, 116.383333,2020-02-01,1439323776,11891,259,China,2089,46,1497,31
,China,39.916667, 116.383333,2020-02-02,1439323776,16630,361,China,4739,102,2079,43
,China,39.916667, 116.383333,2020-02-03,1439323776,19716,425,China,3086,64,2405,49
,China,39.916667, 116.383333,2020-02-04,1439323776,23707,491,China,3991,66,2599,51
,China,39.916667, 116.383333,2020-02-05,1439323776,27440,563,China,3733,72,3050,61
,China,39.916667, 116.383333,2020-02-06,1439323776,30587,633,China,3147,70,3206,66
,China,39.916667, 116.383333,2020-02-07,1439323776,34110,718,China,3523,85,3472,72
,China,39.916667, 116.383333,2020-02-08,1439323776,36814,805,China,2704,87,3560,78
,China,39.916667, 116.383333,2020-02-09,1439323776,39829,905,China,3015,100,3314,77
,China,39.916667, 116.383333,2020-02-10,1439323776,42354,1012,China,2525,107,3234,83
,China,39.916667, 116.383333,2020-02-11,1439323776,44386,1112,China,2032,100,2954,88
,China,39.916667, 116.383333,2020-02-12,1439323776,44759,1117,China,373,5,2474,79
,China,39.916667, 116.383333,2020-02-13,1439323776,59895,1369,China,15136,252,4186,105
,China,39.916667, 116.383333,2020-02-14,1439323776,66358,1521,China,6463,152,4606,114
,China,39.916667, 116.383333,2020-02-15,1439323776,68413,1663,China,2055,142,4514,122
,China,39.916667, 116.383333,2020-02-16,1439323776,70513,1766,China,2100,103,4383,123
,China,39.916667, 116.383333,2020-02-17,1439323776,72434,1864,China,1921,98,4297,121
,China,39.916667, 116.383333,2020-02-18,1439323776,74211,2003,China,1777,139,4260,127
,China,39.916667, 116.383333,2020-02-19,1439323776,74619,2116,China,408,113,4265,142
,China,39.916667, 116.383333,2020-02-20,1439323776,75077,2238,China,458,122,2168,124
,China,39.916667, 116.383333,2020-02-21,1439323776,75550,2238,China,473,0,1313,102
,China,39.916667, 116.383333,2020-02-22,1439323776,77001,2443,China,1451,205,1226,111
,China,39.916667, 116.383333,2020-02-23,1439323776,77022,2445,China,21,2,929,97
,China,39.916667, 116.383333,2020-02-24,1439323776,77241,2595,China,219,150,686,104
,China,39.916667, 116.383333,2020-02-25,1439323776,77754,2665,China,513,70,506,94
,China,39.916667, 116.383333,2020-02-26,1439323776,78166,2717,China,412,52,506,85
,China,39.916667, 116.383333,2020-02-27,1439323776,78600,2746,China,434,29,503,72
,China,39.916667, 116.383333,2020-02-28,1439323776,78928,2790,China,328,44,482,78
,China,39.916667, 116.383333,2020-02-29,1439323776,79356,2837,China,428,47,336,56
,China,39.916667, 116.383333,2020-03-01,1439323776,79932,2872,China,576,35,415,61
,China,39.916667, 116.383333,2020-03-02,1439323776,80136,2914,China,204,42,413,45
,China,39.916667, 116.383333,2020-03-03,1439323776,80261,2947,China,125,33,358,40
,China,39.916667, 116.383333,2020-03-04,1439323776,80386,2983,China,125,36,317,38
,China,39.916667, 116.383333,2020-03-05,1439323776,80537,3015,China,151,32,276,38
,China,39.916667, 116.383333,2020-03-06,1439323776,80690,3044,China,153,29,251,36
,China,39.916667, 116.383333,2020-03-07,1439323776,80770,3072,China,80,28,202,33
,China,39.916667, 116.383333,2020-03-08,1439323776,80823,3100,China,53,28,127,32
,China,39.916667, 116.383333,2020-03-09,1439323776,80860,3123,China,37,23,103,29
,China,39.916667, 116.383333,2020-03-10,1439323776,80887,3139,China,27,16,89,27
,China,39.916667, 116.383333,2020-03-11,1439323776,80921,3161,China,34,22,76,25
,China,39.916667, 116.383333,2020-03-12,1439323776,80932,3172,China,11,11,56,22
,China,39.916667, 116.383333,2020-03-13,1439323776,80945,3180,China,13,8,36,19
,China,39.916667, 116.383333,2020-03-14,1439323776,80977,3193,China,32,13,29,17
,China,39.916667, 116.383333,2020-03-15,1439323776,81003,3203,China,26,10,25,14
,China,39.916667, 116.383333,2020-03-16,1439323776,81033,3217,China,30,14,24,13
,China,39.916667, 116.383333,2020-03-17,1439323776,81058,3230,China,25,13,24,13
,China,39.916667, 116.383333,2020-03-18,1439323776,81102,3241,China,44,11,25,11
,China,39.916667, 116.383333,2020-03-19,1439323776,81156,3249,China,54,8,32,11
,China,39.916667, 116.383333,2020-03-20,1439323776,81250,3253,China,94,4,43,10
,China,39.916667, 116.383333,2020-03-21,1439323776,81305,3259,China,55,6,46,9
,China,39.916667, 116.383333,2020-03-22,1439323776,81435,3274,China,130,15,61,10
,China,39.916667, 116.383333,2020-03-23,1439323776,81493,3274,China,58,0,65,8
,China,39.916667, 116.383333,2020-03-24,1439323776,81587,3281,China,94,7,75,7
,China,39.916667, 116.383333,2020-03-25,1439323776,81658,3285,China,71,4,79,6
,China,39.916667, 116.383333,2020-03-26,1439323776,81781,3291,China,123,6,89,6
,China,39.916667, 116.383333,2020-03-27,1439323776,81872,3296,China,91,5,88,6
,China,39.916667, 116.383333,2020-03-28,1439323776,81964,3299,China,92,3,94,5
,China,39.916667, 116.383333,2020-03-29,1439323776,82058,3304,China,94,5,89,4
,China,39.916667, 116.383333,2020-03-30,1439323776,82139,3308,China,81,4,92,4
,China,39.916667, 116.383333,2020-03-31,1439323776,82373,3309,China,234,1,112,4
,China,39.916667, 116.383333,2020-04-01,1439323776,82507,3316,China,134,7,121,4
,China,39.916667, 116.383333,2020-04-02,1439323776,82641,3322,China,134,6,122,4
,China,39.916667, 116.383333,2020-04-03,1439323776,82785,3326,China,144,4,130,4
,China,39.916667, 116.383333,2020-04-04,1439323776,82866,3330,China,81,4,128,4
,China,39.916667, 116.383333,2020-04-05,1439323776,82999,3333,China,133,3,134,4
,China,39.916667, 116.383333,2020-04-06,1439323776,83098,3335,China,99,2,137,3
,China,39.916667, 116.383333,2020-04-07,1439323776,83277,3335,China,179,0,129,3
,China,39.916667, 116.383333,2020-04-08,1439323776,83409,3337,China,132,2,128,3
