Province_State,Country_Region,Lat,Long,Date,Population,Confirmed,Deaths,Combined_Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Diamond Princess,US,53.8953584,27.5554078,2020-01-22,333281014,1,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-01-23,333281014,1,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-01-24,333281014,2,0,"Diamond Princess, US",1,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-01-25,333281014,2,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-01-26,333281014,5,0,"Diamond Princess, US",3,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-01-27,333281014,5,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-01-28,333281014,5,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-01-29,333281014,6,0,"Diamond Princess, US",1,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-01-30,333281014,6,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-01-31,333281014,8,0,"Diamond Princess, US",2,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-01,333281014,8,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-02,333281014,8,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-03,333281014,11,0,"Diamond Princess, US",3,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-04,333281014,11,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-05,333281014,11,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-06,333281014,12,0,"Diamond Princess, US",1,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-07,333281014,12,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-08,333281014,12,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-09,333281014,12,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-10,333281014,12,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-11,333281014,13,0,"Diamond Princess, US",1,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-12,333281014,13,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-13,333281014,14,0,"Diamond Princess, US",1,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-14,333281014,14,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-15,333281014,14,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-16,333281014,14,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-17,333281014,14,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-18,333281014,14,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-19,333281014,14,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-20,333281014,14,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-21,333281014,16,0,"Diamond Princess, US",2,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-22,333281014,16,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-23,333281014,16,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-24,333281014,16,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-25,333281014,16,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-26,333281014,16,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-27,333281014,17,0,"Diamond Princess, US",1,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-28,333281014,17,0,"Diamond Princess, US",0,0,0,0
Diamond Princess,US,53.8953584,27.5554078,2020-02-29,333281014,25,1,"Diamond Princess, US",8,1,1,0
Diamond Princess,US,53.8953584,27.5554078,2020-03-01,333281014,32,1,"Diamond Princess, US",7,0,2,0
Diamond Princess,US,53.8953584,27.5554078,2020-03-02,333281014,55,6,"Diamond Princess, US",23,5,5,0
Diamond Princess,US,53.8953584,27.5554078,2020-03-03,333281014,75,7,"Diamond Princess, US",20,1,8,1
Diamond Princess,US,53.8953584,27.5554078,2020-03-04,333281014,108,11,"Diamond Princess, US",33,4,13,1
Diamond Princess,US,53.8953584,27.5554078,2020-03-05,333281014,185,12,"Diamond Princess, US",77,1,24,1
Diamond Princess,US,53.8953584,27.5554078,2020-03-06,333281014,238,14,"Diamond Princess, US",53,2,31,2
Diamond Princess,US,53.8953584,27.5554078,2020-03-07,333281014,404,17,"Diamond Princess, US",166,3,54,2
Diamond Princess,US,53.8953584,27.5554078,2020-03-08,333281014,520,21,"Diamond Princess, US",116,4,69,2
Diamond Princess,US,53.8953584,27.5554078,2020-03-09,333281014,595,22,"Diamond Princess, US",75,1,77,2
Diamond Princess,US,53.8953584,27.5554078,2020-03-10,333281014,789,28,"Diamond Princess, US",194,6,102,3
Diamond Princess,US,53.8953584,27.5554078,2020-03-11,333281014,1152,33,"Diamond Princess, US",363,5,149,3
Diamond Princess,US,53.8953584,27.5554078,2020-03-12,333281014,1628,43,"Diamond Princess, US",476,10,206,4
Diamond Princess,US,53.8953584,27.5554078,2020-03-13,333281014,2335,51,"Diamond Princess, US",707,8,299,5
Diamond Princess,US,53.8953584,27.5554078,2020-03-14,333281014,3095,60,"Diamond Princess, US",760,9,384,6
Diamond Princess,US,53.8953584,27.5554078,2020-03-15,333281014,3233,72,"Diamond Princess, US",138,12,387,7
Diamond Princess,US,53.8953584,27.5554078,2020-03-16,333281014,4698,100,"Diamond Princess, US",1465,28,586,11
Diamond Princess,US,53.8953584,27.5554078,2020-03-17,333281014,6542,143,"Diamond Princess, US",1844,43,821,16
Diamond Princess,US,53.8953584,27.5554078,2020-03-18,333281014,9199,210,"Diamond Princess, US",2657,67,1149,25
Diamond Princess,US,53.8953584,27.5554078,2020-03-19,333281014,14216,300,"Diamond Princess, US",5017,90,1798,36
Diamond Princess,US,53.8953584,27.5554078,2020-03-20,333281014,21151,416,"Diamond Princess, US",6935,116,2688,52
Diamond Princess,US,53.8953584,27.5554078,2020-03-21,333281014,26684,523,"Diamond Princess, US",5533,107,3369,66
Diamond Princess,US,53.8953584,27.5554078,2020-03-22,333281014,35634,661,"Diamond Princess, US",8950,138,4628,84
Diamond Princess,US,53.8953584,27.5554078,2020-03-23,333281014,47342,885,"Diamond Princess, US",11708,224,6092,112
Diamond Princess,US,53.8953584,27.5554078,2020-03-24,333281014,57970,1179,"Diamond Princess, US",10628,294,7346,148
Diamond Princess,US,53.8953584,27.5554078,2020-03-25,333281014,70422,1558,"Diamond Princess, US",12452,379,8746,192
Diamond Princess,US,53.8953584,27.5554078,2020-03-26,333281014,89719,2067,"Diamond Princess, US",19297,509,10786,252
Diamond Princess,US,53.8953584,27.5554078,2020-03-27,333281014,108635,2666,"Diamond Princess, US",18916,599,12497,321
Diamond Princess,US,53.8953584,27.5554078,2020-03-28,333281014,128950,3360,"Diamond Princess, US",20315,694,14609,405
Diamond Princess,US,53.8953584,27.5554078,2020-03-29,333281014,148788,4048,"Diamond Princess, US",19838,688,16164,483
Diamond Princess,US,53.8953584,27.5554078,2020-03-30,333281014,172113,4910,"Diamond Princess, US",23325,862,17824,575
Diamond Princess,US,53.8953584,27.5554078,2020-03-31,333281014,198205,6304,"Diamond Princess, US",26092,1394,20033,732
Diamond Princess,US,53.8953584,27.5554078,2020-04-01,333281014,232268,7518,"Diamond Princess, US",34063,1214,23120,851
Diamond Princess,US,53.8953584,27.5554078,2020-04-02,333281014,264942,9245,"Diamond Princess, US",32674,1727,25031,1025
Diamond Princess,US,53.8953584,27.5554078,2020-04-03,333281014,297599,10885,"Diamond Princess, US",32657,1640,26994,1174
Diamond Princess,US,53.8953584,27.5554078,2020-04-04,333281014,328918,12693,"Diamond Princess, US",31319,1808,28566,1333
Diamond Princess,US,53.8953584,27.5554078,2020-04-05,333281014,359200,14561,"Diamond Princess, US",30282,1868,30058,1501
Diamond Princess,US,53.8953584,27.5554078,2020-04-06,333281014,390855,16669,"Diamond Princess, US",31655,2108,31248,1679
Diamond Princess,US,53.8953584,27.5554078,2020-04-07,333281014,420827,19612,"Diamond Princess, US",29972,2943,31803,1901
Diamond Princess,US,53.8953584,27.5554078,2020-04-08,333281014,451768,22023,"Diamond Princess, US",30941,2411,31357,2072
Diamond Princess,US,53.8953584,27.5554078,2020-04-09,333281014,487631,24570,"Diamond Princess, US",35863,2547,31812,2189
Diamond Princess,US,53.8953584,27.5554078,2020-04-10,333281014,521469,27087,"Diamond Princess, US",33838,2517,31981,2314
Diamond Princess,US,53.8953584,27.5554078,2020-04-11,333281014,551250,29290,"Diamond Princess, US",29781,2203,31761,2371
Diamond Princess,US,53.8953584,27.5554078,2020-04-12,333281014,578722,31414,"Diamond Princess, US",27472,2124,31360,2407
Diamond Princess,US,53.8953584,27.5554078,2020-04-13,333281014,606594,33796,"Diamond Princess, US",27872,2382,30819,2446
Diamond Princess,US,53.8953584,27.5554078,2020-04-14,333281014,636432,36514,"Diamond Princess, US",29838,2718,30800,2414
Diamond Princess,US,53.8953584,27.5554078,2020-04-15,333281014,660687,39202,"Diamond Princess, US",24255,2688,29845,2454
Diamond Princess,US,53.8953584,27.5554078,2020-04-16,333281014,690628,41525,"Diamond Princess, US",29941,2323,28999,2422
Diamond Princess,US,53.8953584,27.5554078,2020-04-17,333281014,723577,43805,"Diamond Princess, US",32949,2280,28872,2388
Diamond Princess,US,53.8953584,27.5554078,2020-04-18,333281014,751975,45909,"Diamond Princess, US",28398,2104,28675,2374
Diamond Princess,US,53.8953584,27.5554078,2020-04-19,333281014,777805,48068,"Diamond Princess, US",25830,2159,28440,2379
Diamond Princess,US,53.8953584,27.5554078,2020-04-20,333281014,807641,50579,"Diamond Princess, US",29836,2511,28721,2397
Diamond Princess,US,53.8953584,27.5554078,2020-04-21,333281014,836611,53514,"Diamond Princess, US",28970,2935,28597,2428
Diamond Princess,US,53.8953584,27.5554078,2020-04-22,333281014,863557,55971,"Diamond Princess, US",26946,2457,28981,2395
Diamond Princess,US,53.8953584,27.5554078,2020-04-23,333281014,897245,58782,"Diamond Princess, US",33688,2811,29516,2465
Diamond Princess,US,53.8953584,27.5554078,2020-04-24,333281014,929933,61295,"Diamond Princess, US",32688,2513,29479,2498
Diamond Princess,US,53.8953584,27.5554078,2020-04-25,333281014,959754,62470,"Diamond Princess, US",29821,1175,29682,2365
Diamond Princess,US,53.8953584,27.5554078,2020-04-26,333281014,986603,64133,"Diamond Princess, US",26849,1663,29828,2295
Diamond Princess,US,53.8953584,27.5554078,2020-04-27,333281014,1010415,65560,"Diamond Princess, US",23812,1427,28967,2140
Diamond Princess,US,53.8953584,27.5554078,2020-04-28,333281014,1035000,67869,"Diamond Princess, US",24585,2309,28341,2050
Diamond Princess,US,53.8953584,27.5554078,2020-04-29,333281014,1061864,70324,"Diamond Princess, US",26864,2455,28329,2050
Diamond Princess,US,53.8953584,27.5554078,2020-04-30,333281014,1091191,72415,"Diamond Princess, US",29327,2091,27706,1947
Diamond Princess,US,53.8953584,27.5554078,2020-05-01,333281014,1126884,74302,"Diamond Princess, US",35693,1887,28135,1858
Diamond Princess,US,53.8953584,27.5554078,2020-05-02,333281014,1155247,76066,"Diamond Princess, US",28363,1764,27927,1942
Diamond Princess,US,53.8953584,27.5554078,2020-05-03,333281014,1179590,77371,"Diamond Princess, US",24343,1305,27569,1891
Diamond Princess,US,53.8953584,27.5554078,2020-05-04,333281014,1203892,78915,"Diamond Princess, US",24302,1544,27639,1907
