Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
,Egypt,26.820553,30.802498,2020-01-22,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-01-23,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-01-24,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-01-25,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-01-26,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-01-27,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-01-28,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-01-29,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-01-30,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-01-31,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-01,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-02,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-03,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-04,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-05,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-06,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-07,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-08,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-09,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-10,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-11,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-12,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-13,0,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-14,1,0,", Egypt",102334404.0,1,0,0,0
,Egypt,26.820553,30.802498,2020-02-15,1,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-16,1,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-17,1,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-18,1,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-19,1,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-20,1,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-21,1,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-22,1,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-23,1,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-24,1,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-25,1,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-26,1,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-27,1,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-28,1,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-02-29,1,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-03-01,2,0,", Egypt",102334404.0,1,0,0,0
,Egypt,26.820553,30.802498,2020-03-02,2,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-03-03,2,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-03-04,2,0,", Egypt",102334404.0,0,0,0,0
,Egypt,26.820553,30.802498,2020-03-05,3,0,", Egypt",102334404.0,1,0,0,0
,Egypt,26.820553,30.802498,2020-03-06,15,0,", Egypt",102334404.0,12,0,2,0
,Egypt,26.820553,30.802498,2020-03-07,15,0,", Egypt",102334404.0,0,0,2,0
,Egypt,26.820553,30.802498,2020-03-08,49,1,", Egypt",102334404.0,34,1,6,0
,Egypt,26.820553,30.802498,2020-03-09,55,1,", Egypt",102334404.0,6,0,7,0
,Egypt,26.820553,30.802498,2020-03-10,59,1,", Egypt",102334404.0,4,0,8,0
,Egypt,26.820553,30.802498,2020-03-11,60,1,", Egypt",102334404.0,1,0,8,0
,Egypt,26.820553,30.802498,2020-03-12,67,1,", Egypt",102334404.0,7,0,9,0
,Egypt,26.820553,30.802498,2020-03-13,80,2,", Egypt",102334404.0,13,1,9,0
,Egypt,26.820553,30.802498,2020-03-14,109,2,", Egypt",102334404.0,29,0,13,0
,Egypt,26.820553,30.802498,2020-03-15,110,2,", Egypt",102334404.0,1,0,8,0
,Egypt,26.820553,30.802498,2020-03-16,150,2,", Egypt",102334404.0,40,0,13,0
,Egypt,26.820553,30.802498,2020-03-17,196,4,", Egypt",102334404.0,46,2,19,0
,Egypt,26.820553,30.802498,2020-03-18,196,6,", Egypt",102334404.0,0,2,19,0
,Egypt,26.820553,30.802498,2020-03-19,256,6,", Egypt",102334404.0,60,0,27,0
,Egypt,26.820553,30.802498,2020-03-20,285,8,", Egypt",102334404.0,29,2,29,0
,Egypt,26.820553,30.802498,2020-03-21,294,10,", Egypt",102334404.0,9,2,26,1
,Egypt,26.820553,30.802498,2020-03-22,327,14,", Egypt",102334404.0,33,4,31,1
,Egypt,26.820553,30.802498,2020-03-23,366,19,", Egypt",102334404.0,39,5,30,2
,Egypt,26.820553,30.802498,2020-03-24,402,20,", Egypt",102334404.0,36,1,29,2
,Egypt,26.820553,30.802498,2020-03-25,456,21,", Egypt",102334404.0,54,1,37,2
,Egypt,26.820553,30.802498,2020-03-26,495,24,", Egypt",102334404.0,39,3,34,2
,Egypt,26.820553,30.802498,2020-03-27,536,30,", Egypt",102334404.0,41,6,35,3
,Egypt,26.820553,30.802498,2020-03-28,576,36,", Egypt",102334404.0,40,6,40,3
,Egypt,26.820553,30.802498,2020-03-29,609,40,", Egypt",102334404.0,33,4,40,3
,Egypt,26.820553,30.802498,2020-03-30,656,41,", Egypt",102334404.0,47,1,41,3
,Egypt,26.820553,30.802498,2020-03-31,710,46,", Egypt",102334404.0,54,5,44,3
,Egypt,26.820553,30.802498,2020-04-01,779,52,", Egypt",102334404.0,69,6,46,4
,Egypt,26.820553,30.802498,2020-04-02,865,58,", Egypt",102334404.0,86,6,52,4
,Egypt,26.820553,30.802498,2020-04-03,985,66,", Egypt",102334404.0,120,8,64,5
,Egypt,26.820553,30.802498,2020-04-04,1070,71,", Egypt",102334404.0,85,5,70,5
,Egypt,26.820553,30.802498,2020-04-05,1173,78,", Egypt",102334404.0,103,7,80,5
,Egypt,26.820553,30.802498,2020-04-06,1322,85,", Egypt",102334404.0,149,7,95,6
,Egypt,26.820553,30.802498,2020-04-07,1450,94,", Egypt",102334404.0,128,9,105,6
,Egypt,26.820553,30.802498,2020-04-08,1560,103,", Egypt",102334404.0,110,9,111,7
,Egypt,26.820553,30.802498,2020-04-09,1699,118,", Egypt",102334404.0,139,15,119,8
,Egypt,26.820553,30.802498,2020-04-10,1794,135,", Egypt",102334404.0,95,17,115,9
,Egypt,26.820553,30.802498,2020-04-11,1939,146,", Egypt",102334404.0,145,11,124,10
,Egypt,26.820553,30.802498,2020-04-12,2065,159,", Egypt",102334404.0,126,13,127,11
,Egypt,26.820553,30.802498,2020-04-13,2190,164,", Egypt",102334404.0,125,5,124,11
,Egypt,26.820553,30.802498,2020-04-14,2350,178,", Egypt",102334404.0,160,14,128,12
,Egypt,26.820553,30.802498,2020-04-15,2505,183,", Egypt",102334404.0,155,5,135,11
,Egypt,26.820553,30.802498,2020-04-16,2673,196,", Egypt",102334404.0,168,13,139,11
,Egypt,26.820553,30.802498,2020-04-17,2844,205,", Egypt",102334404.0,171,9,150,10
,Egypt,26.820553,30.802498,2020-04-18,3032,224,", Egypt",102334404.0,188,19,156,11
,Egypt,26.820553,30.802498,2020-04-19,3144,239,", Egypt",102334404.0,112,15,154,11
,Egypt,26.820553,30.802498,2020-04-20,3333,250,", Egypt",102334404.0,189,11,163,12
,Egypt,26.820553,30.802498,2020-04-21,3490,264,", Egypt",102334404.0,157,14,162,12
,Egypt,26.820553,30.802498,2020-04-22,3659,276,", Egypt",102334404.0,169,12,164,13
,Egypt,26.820553,30.802498,2020-04-23,3891,287,", Egypt",102334404.0,232,11,174,13
,Egypt,26.820553,30.802498,2020-04-24,4092,294,", Egypt",102334404.0,201,7,178,12
,Egypt,26.820553,30.802498,2020-04-25,4319,307,", Egypt",102334404.0,227,13,183,11
,Egypt,26.820553,30.802498,2020-04-26,4534,317,", Egypt",102334404.0,215,10,198,11
,Egypt,26.820553,30.802498,2020-04-27,4782,337,", Egypt",102334404.0,248,20,207,12
,Egypt,26.820553,30.802498,2020-04-28,5042,359,", Egypt",102334404.0,260,22,221,13
,Egypt,26.820553,30.802498,2020-04-29,5268,380,", Egypt",102334404.0,226,21,229,14
,Egypt,26.820553,30.802498,2020-04-30,5537,392,", Egypt",102334404.0,269,12,235,15
,Egypt,26.820553,30.802498,2020-05-01,5895,406,", Egypt",102334404.0,358,14,257,16
,Egypt,26.820553,30.802498,2020-05-02,6193,415,", Egypt",102334404.0,298,9,267,15
,Egypt,26.820553,30.802498,2020-05-03,6465,429,", Egypt",102334404.0,272,14,275,16
,Egypt,26.820553,30.802498,2020-05-04,6813,436,", Egypt",102334404.0,348,7,290,14
,Egypt,26.820553,30.802498,2020-05-05,7201,452,", Egypt",102334404.0,388,16,308,13
,Egypt,26.820553,30.802498,2020-05-06,7588,469,", Egypt",102334404.0,387,17,331,12
,Egypt,26.820553,30.802498,2020-05-07,7981,482,", Egypt",102334404.0,393,13,349,12
,Egypt,26.820553,30.802498,2020-05-08,8476,503,", Egypt",102334404.0,495,21,368,13
,Egypt,26.820553,30.802498,2020-05-09,8964,514,", Egypt",102334404.0,488,11,395,14
,Egypt,26.820553,30.802498,2020-05-10,9400,525,", Egypt",102334404.0,436,11,419,13
,Egypt,26.820553,30.802498,2020-05-11,9746,533,", Egypt",102334404.0,346,8,419,13
,Egypt,26.820553,30.802498,2020-05-12,10093,544,", Egypt",102334404.0,347,11,413,13
,Egypt,26.820553,30.802498,2020-05-13,10431,556,", Egypt",102334404.0,338,12,406,12
,Egypt,26.820553,30.802498,2020-05-14,10829,571,", Egypt",102334404.0,398,15,406,12
,Egypt,26.820553,30.802498,2020-05-15,11228,592,", Egypt",102334404.0,399,21,393,12
,Egypt,26.820553,30.802498,2020-05-16,11719,612,", Egypt",102334404.0,491,20,393,14
,Egypt,26.820553,30.802498,2020-05-17,12229,630,", Egypt",102334404.0,510,18,404,15
,Egypt,26.820553,30.802498,2020-05-18,12764,645,", Egypt",102334404.0,535,15,431,16
,Egypt,26.820553,30.802498,2020-05-19,13484,659,", Egypt",102334404.0,720,14,484,16
