Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
,Germany,51.165691,10.451526,2020-01-22,0,0,", Germany",83783942.0,,,,
,Germany,51.165691,10.451526,2020-01-23,0,0,", Germany",83783942.0,0.0,0.0,,
,Germany,51.165691,10.451526,2020-01-24,0,0,", Germany",83783942.0,0.0,0.0,,
,Germany,51.165691,10.451526,2020-01-25,0,0,", Germany",83783942.0,0.0,0.0,,
,Germany,51.165691,10.451526,2020-01-26,0,0,", Germany",83783942.0,0.0,0.0,,
,Germany,51.165691,10.451526,2020-01-27,1,0,", Germany",83783942.0,1.0,0.0,,
,Germany,51.165691,10.451526,2020-01-28,4,0,", Germany",83783942.0,3.0,0.0,,
,Germany,51.165691,10.451526,2020-01-29,4,0,", Germany",83783942.0,0.0,0.0,0.5714285714285714,0.0
,Germany,51.165691,10.451526,2020-01-30,4,0,", Germany",83783942.0,0.0,0.0,0.5714285714285714,0.0
,Germany,51.165691,10.451526,2020-01-31,5,0,", Germany",83783942.0,1.0,0.0,0.7142857142857143,0.0
,Germany,51.165691,10.451526,2020-02-01,8,0,", Germany",83783942.0,3.0,0.0,1.1428571428571428,0.0
,Germany,51.165691,10.451526,2020-02-02,10,0,", Germany",83783942.0,2.0,0.0,1.4285714285714286,0.0
,Germany,51.165691,10.451526,2020-02-03,12,0,", Germany",83783942.0,2.0,0.0,1.5714285714285714,0.0
,Germany,51.165691,10.451526,2020-02-04,12,0,", Germany",83783942.0,0.0,0.0,1.1428571428571428,0.0
,Germany,51.165691,10.451526,2020-02-05,12,0,", Germany",83783942.0,0.0,0.0,1.1428571428571428,0.0
,Germany,51.165691,10.451526,2020-02-06,12,0,", Germany",83783942.0,0.0,0.0,1.1428571428571428,0.0
,Germany,51.165691,10.451526,2020-02-07,13,0,", Germany",83783942.0,1.0,0.0,1.1428571428571428,0.0
,Germany,51.165691,10.451526,2020-02-08,13,0,", Germany",83783942.0,0.0,0.0,0.7142857142857143,0.0
,Germany,51.165691,10.451526,2020-02-09,14,0,", Germany",83783942.0,1.0,0.0,0.5714285714285714,0.0
,Germany,51.165691,10.451526,2020-02-10,14,0,", Germany",83783942.0,0.0,0.0,0.2857142857142857,0.0
,Germany,51.165691,10.451526,2020-02-11,16,0,", Germany",83783942.0,2.0,0.0,0.5714285714285714,0.0
,Germany,51.165691,10.451526,2020-02-12,16,0,", Germany",83783942.0,0.0,0.0,0.5714285714285714,0.0
,Germany,51.165691,10.451526,2020-02-13,16,0,", Germany",83783942.0,0.0,0.0,0.5714285714285714,0.0
,Germany,51.165691,10.451526,2020-02-14,16,0,", Germany",83783942.0,0.0,0.0,0.42857142857142855,0.0
,Germany,51.165691,10.451526,2020-02-15,16,0,", Germany",83783942.0,0.0,0.0,0.42857142857142855,0.0
,Germany,51.165691,10.451526,2020-02-16,16,0,", Germany",83783942.0,0.0,0.0,0.2857142857142857,0.0
,Germany,51.165691,10.451526,2020-02-17,16,0,", Germany",83783942.0,0.0,0.0,0.2857142857142857,0.0
,Germany,51.165691,10.451526,2020-02-18,16,0,", Germany",83783942.0,0.0,0.0,0.0,0.0
,Germany,51.165691,10.451526,2020-02-19,16,0,", Germany",83783942.0,0.0,0.0,0.0,0.0
,Germany,51.165691,10.451526,2020-02-20,16,0,", Germany",83783942.0,0.0,0.0,0.0,0.0
,Germany,51.165691,10.451526,2020-02-21,16,0,", Germany",83783942.0,0.0,0.0,0.0,0.0
,Germany,51.165691,10.451526,2020-02-22,16,0,", Germany",83783942.0,0.0,0.0,0.0,0.0
,Germany,51.165691,10.451526,2020-02-23,16,0,", Germany",83783942.0,0.0,0.0,0.0,0.0
,Germany,51.165691,10.451526,2020-02-24,16,0,", Germany",83783942.0,0.0,0.0,0.0,0.0
,Germany,51.165691,10.451526,2020-02-25,17,0,", Germany",83783942.0,1.0,0.0,0.14285714285714285,0.0
,Germany,51.165691,10.451526,2020-02-26,27,0,", Germany",83783942.0,10.0,0.0,1.5714285714285714,0.0
,Germany,51.165691,10.451526,2020-02-27,46,0,", Germany",83783942.0,19.0,0.0,4.285714285714286,0.0
,Germany,51.165691,10.451526,2020-02-28,48,0,", Germany",83783942.0,2.0,0.0,4.571428571428571,0.0
,Germany,51.165691,10.451526,2020-02-29,79,0,", Germany",83783942.0,31.0,0.0,9.0,0.0
,Germany,51.165691,10.451526,2020-03-01,130,0,", Germany",83783942.0,51.0,0.0,16.285714285714285,0.0
,Germany,51.165691,10.451526,2020-03-02,159,0,", Germany",83783942.0,29.0,0.0,20.428571428571427,0.0
,Germany,51.165691,10.451526,2020-03-03,196,0,", Germany",83783942.0,37.0,0.0,25.571428571428573,0.0
,Germany,51.165691,10.451526,2020-03-04,262,0,", Germany",83783942.0,66.0,0.0,33.57142857142857,0.0
,Germany,51.165691,10.451526,2020-03-05,482,0,", Germany",83783942.0,220.0,0.0,62.285714285714285,0.0
,Germany,51.165691,10.451526,2020-03-06,670,0,", Germany",83783942.0,188.0,0.0,88.85714285714286,0.0
,Germany,51.165691,10.451526,2020-03-07,799,0,", Germany",83783942.0,129.0,0.0,102.85714285714286,0.0
,Germany,51.165691,10.451526,2020-03-08,1040,0,", Germany",83783942.0,241.0,0.0,130.0,0.0
,Germany,51.165691,10.451526,2020-03-09,1176,2,", Germany",83783942.0,136.0,2.0,145.28571428571428,0.2857142857142857
,Germany,51.165691,10.451526,2020-03-10,1457,2,", Germany",83783942.0,281.0,0.0,180.14285714285714,0.2857142857142857
,Germany,51.165691,10.451526,2020-03-11,1908,3,", Germany",83783942.0,451.0,1.0,235.14285714285714,0.42857142857142855
,Germany,51.165691,10.451526,2020-03-12,2078,3,", Germany",83783942.0,170.0,0.0,228.0,0.42857142857142855
,Germany,51.165691,10.451526,2020-03-13,3675,7,", Germany",83783942.0,1597.0,4.0,429.2857142857143,1.0
,Germany,51.165691,10.451526,2020-03-14,4585,9,", Germany",83783942.0,910.0,2.0,540.8571428571429,1.2857142857142858
,Germany,51.165691,10.451526,2020-03-15,5795,11,", Germany",83783942.0,1210.0,2.0,679.2857142857143,1.5714285714285714
,Germany,51.165691,10.451526,2020-03-16,7272,17,", Germany",83783942.0,1477.0,6.0,870.8571428571429,2.142857142857143
,Germany,51.165691,10.451526,2020-03-17,9257,24,", Germany",83783942.0,1985.0,7.0,1114.2857142857142,3.142857142857143
,Germany,51.165691,10.451526,2020-03-18,12327,28,", Germany",83783942.0,3070.0,4.0,1488.4285714285713,3.5714285714285716
,Germany,51.165691,10.451526,2020-03-19,15320,44,", Germany",83783942.0,2993.0,16.0,1891.7142857142858,5.857142857142857
,Germany,51.165691,10.451526,2020-03-20,19848,67,", Germany",83783942.0,4528.0,23.0,2310.4285714285716,8.571428571428571
,Germany,51.165691,10.451526,2020-03-21,22213,84,", Germany",83783942.0,2365.0,17.0,2518.285714285714,10.714285714285714
,Germany,51.165691,10.451526,2020-03-22,24873,94,", Germany",83783942.0,2660.0,10.0,2725.4285714285716,11.857142857142858
,Germany,51.165691,10.451526,2020-03-23,29056,123,", Germany",83783942.0,4183.0,29.0,3112.0,15.142857142857142
,Germany,51.165691,10.451526,2020-03-24,32986,157,", Germany",83783942.0,3930.0,34.0,3389.8571428571427,19.0
,Germany,51.165691,10.451526,2020-03-25,37323,206,", Germany",83783942.0,4337.0,49.0,3570.8571428571427,25.428571428571427
,Germany,51.165691,10.451526,2020-03-26,43938,267,", Germany",83783942.0,6615.0,61.0,4088.285714285714,31.857142857142858
,Germany,51.165691,10.451526,2020-03-27,50871,342,", Germany",83783942.0,6933.0,75.0,4431.857142857143,39.285714285714285
,Germany,51.165691,10.451526,2020-03-28,57695,433,", Germany",83783942.0,6824.0,91.0,5068.857142857143,49.857142857142854
,Germany,51.165691,10.451526,2020-03-29,62095,533,", Germany",83783942.0,4400.0,100.0,5317.428571428572,62.714285714285715
,Germany,51.165691,10.451526,2020-03-30,66885,645,", Germany",83783942.0,4790.0,112.0,5404.142857142857,74.57142857142857
,Germany,51.165691,10.451526,2020-03-31,71808,775,", Germany",83783942.0,4923.0,130.0,5546.0,88.28571428571429
,Germany,51.165691,10.451526,2020-04-01,77872,920,", Germany",83783942.0,6064.0,145.0,5792.714285714285,102.0
,Germany,51.165691,10.451526,2020-04-02,84794,1107,", Germany",83783942.0,6922.0,187.0,5836.571428571428,120.0
,Germany,51.165691,10.451526,2020-04-03,91159,1275,", Germany",83783942.0,6365.0,168.0,5755.428571428572,133.28571428571428
,Germany,51.165691,10.451526,2020-04-04,96092,1444,", Germany",83783942.0,4933.0,169.0,5485.285714285715,144.42857142857142
,Germany,51.165691,10.451526,2020-04-05,100123,1584,", Germany",83783942.0,4031.0,140.0,5432.571428571428,150.14285714285714
,Germany,51.165691,10.451526,2020-04-06,103374,1810,", Germany",83783942.0,3251.0,226.0,5212.714285714285,166.42857142857142
,Germany,51.165691,10.451526,2020-04-07,107663,2016,", Germany",83783942.0,4289.0,206.0,5122.142857142857,177.28571428571428
,Germany,51.165691,10.451526,2020-04-08,113296,2349,", Germany",83783942.0,5633.0,333.0,5060.571428571428,204.14285714285714
,Germany,51.165691,10.451526,2020-04-09,118181,2607,", Germany",83783942.0,4885.0,258.0,4769.571428571428,214.28571428571428
,Germany,51.165691,10.451526,2020-04-10,122171,2767,", Germany",83783942.0,3990.0,160.0,4430.285714285715,213.14285714285714
,Germany,51.165691,10.451526,2020-04-11,124908,2736,", Germany",83783942.0,2737.0,-31.0,4116.571428571428,184.57142857142858
,Germany,51.165691,10.451526,2020-04-12,127854,3022,", Germany",83783942.0,2946.0,286.0,3961.5714285714284,205.42857142857142
,Germany,51.165691,10.451526,2020-04-13,130072,3194,", Germany",83783942.0,2218.0,172.0,3814.0,197.71428571428572
,Germany,51.165691,10.451526,2020-04-14,131359,3294,", Germany",83783942.0,1287.0,100.0,3385.1428571428573,182.57142857142858
,Germany,51.165691,10.451526,2020-04-15,134753,3804,", Germany",83783942.0,3394.0,510.0,3065.285714285714,207.85714285714286
,Germany,51.165691,10.451526,2020-04-16,137698,4052,", Germany",83783942.0,2945.0,248.0,2788.1428571428573,206.42857142857142
,Germany,51.165691,10.451526,2020-04-17,141397,4352,", Germany",83783942.0,3699.0,300.0,2746.5714285714284,226.42857142857142
,Germany,51.165691,10.451526,2020-04-18,143342,4459,", Germany",83783942.0,1945.0,107.0,2633.4285714285716,246.14285714285714
,Germany,51.165691,10.451526,2020-04-19,145184,4586,", Germany",83783942.0,1842.0,127.0,2475.714285714286,223.42857142857142
,Germany,51.165691,10.451526,2020-04-20,147065,4862,", Germany",83783942.0,1881.0,276.0,2427.5714285714284,238.28571428571428
,Germany,51.165691,10.451526,2020-04-21,148291,5033,", Germany",83783942.0,1226.0,171.0,2418.8571428571427,248.42857142857142
,Germany,51.165691,10.451526,2020-04-22,150648,5279,", Germany",83783942.0,2357.0,246.0,2270.714285714286,210.71428571428572
,Germany,51.165691,10.451526,2020-04-23,153129,5575,", Germany",83783942.0,2481.0,296.0,2204.4285714285716,217.57142857142858
,Germany,51.165691,10.451526,2020-04-24,154999,5760,", Germany",83783942.0,1870.0,185.0,1943.142857142857,201.14285714285714
,Germany,51.165691,10.451526,2020-04-25,156513,5877,", Germany",83783942.0,1514.0,117.0,1881.5714285714287,202.57142857142858
,Germany,51.165691,10.451526,2020-04-26,157770,5976,", Germany",83783942.0,1257.0,99.0,1798.0,198.57142857142858
,Germany,51.165691,10.451526,2020-04-27,158758,6126,", Germany",83783942.0,988.0,150.0,1670.4285714285713,180.57142857142858
,Germany,51.165691,10.451526,2020-04-28,159912,6314,", Germany",83783942.0,1154.0,188.0,1660.142857142857,183.0
,Germany,51.165691,10.451526,2020-04-29,161539,6467,", Germany",83783942.0,1627.0,153.0,1555.857142857143,169.71428571428572
,Germany,51.165691,10.451526,2020-04-30,163009,6623,", Germany",83783942.0,1470.0,156.0,1411.4285714285713,149.71428571428572
,Germany,51.165691,10.451526,2020-05-01,164077,6736,", Germany",83783942.0,1068.0,113.0,1296.857142857143,139.42857142857142
,Germany,51.165691,10.451526,2020-05-02,164967,6812,", Germany",83783942.0,890.0,76.0,1207.7142857142858,133.57142857142858
,Germany,51.165691,10.451526,2020-05-03,165664,6866,", Germany",83783942.0,697.0,54.0,1127.7142857142858,127.14285714285714
,Germany,51.165691,10.451526,2020-05-04,166152,6993,", Germany",83783942.0,488.0,127.0,1056.2857142857142,123.85714285714286
,Germany,51.165691,10.451526,2020-05-05,167007,6993,", Germany",83783942.0,855.0,0.0,1013.5714285714286,97.0
,Germany,51.165691,10.451526,2020-05-06,168162,7275,", Germany",83783942.0,1155.0,282.0,946.1428571428571,115.42857142857143
,Germany,51.165691,10.451526,2020-05-07,169430,7392,", Germany",83783942.0,1268.0,117.0,917.2857142857143,109.85714285714286
,Germany,51.165691,10.451526,2020-05-08,170588,7510,", Germany",83783942.0,1158.0,118.0,930.1428571428571,110.57142857142857
,Germany,51.165691,10.451526,2020-05-09,171324,7549,", Germany",83783942.0,736.0,39.0,908.1428571428571,105.28571428571429
,Germany,51.165691,10.451526,2020-05-10,171879,7569,", Germany",83783942.0,555.0,20.0,887.8571428571429,100.42857142857143
,Germany,51.165691,10.451526,2020-05-11,172576,7661,", Germany",83783942.0,697.0,92.0,917.7142857142857,95.42857142857143
,Germany,51.165691,10.451526,2020-05-12,173171,7738,", Germany",83783942.0,595.0,77.0,880.5714285714286,106.42857142857143
,Germany,51.165691,10.451526,2020-05-13,174098,7861,", Germany",83783942.0,927.0,123.0,848.0,83.71428571428571
,Germany,51.165691,10.451526,2020-05-14,174478,7884,", Germany",83783942.0,380.0,23.0,721.1428571428571,70.28571428571429
,Germany,51.165691,10.451526,2020-05-15,175233,7897,", Germany",83783942.0,755.0,13.0,663.5714285714286,55.285714285714285
,Germany,51.165691,10.451526,2020-05-16,175752,7938,", Germany",83783942.0,519.0,41.0,632.5714285714286,55.57142857142857
,Germany,51.165691,10.451526,2020-05-17,176369,7962,", Germany",83783942.0,617.0,24.0,641.4285714285714,56.142857142857146
,Germany,51.165691,10.451526,2020-05-18,176551,8003,", Germany",83783942.0,182.0,41.0,567.8571428571429,48.857142857142854
,Germany,51.165691,10.451526,2020-05-19,177778,8081,", Germany",83783942.0,1227.0,78.0,658.1428571428571,49.0
,Germany,51.165691,10.451526,2020-05-20,178473,8144,", Germany",83783942.0,695.0,63.0,625.0,40.42857142857143
,Germany,51.165691,10.451526,2020-05-21,179021,8203,", Germany",83783942.0,548.0,59.0,649.0,45.57142857142857
,Germany,51.165691,10.451526,2020-05-22,179710,8228,", Germany",83783942.0,689.0,25.0,639.5714285714286,47.285714285714285
,Germany,51.165691,10.451526,2020-05-23,179986,8261,", Germany",83783942.0,276.0,33.0,604.8571428571429,46.142857142857146
,Germany,51.165691,10.451526,2020-05-24,180328,8283,", Germany",83783942.0,342.0,22.0,565.5714285714286,45.857142857142854
,Germany,51.165691,10.451526,2020-05-25,180600,8309,", Germany",83783942.0,272.0,26.0,578.4285714285714,43.714285714285715
,Germany,51.165691,10.451526,2020-05-26,181200,8372,", Germany",83783942.0,600.0,63.0,488.85714285714283,41.57142857142857
,Germany,51.165691,10.451526,2020-05-27,181524,8428,", Germany",83783942.0,324.0,56.0,435.85714285714283,40.57142857142857
,Germany,51.165691,10.451526,2020-05-28,182196,8470,", Germany",83783942.0,672.0,42.0,453.57142857142856,38.142857142857146
,Germany,51.165691,10.451526,2020-05-29,182922,8504,", Germany",83783942.0,726.0,34.0,458.85714285714283,39.42857142857143
,Germany,51.165691,10.451526,2020-05-30,183189,8530,", Germany",83783942.0,267.0,26.0,457.57142857142856,38.42857142857143
,Germany,51.165691,10.451526,2020-05-31,183410,8540,", Germany",83783942.0,221.0,10.0,440.2857142857143,36.714285714285715
,Germany,51.165691,10.451526,2020-06-01,183594,8555,", Germany",83783942.0,184.0,15.0,427.7142857142857,35.142857142857146
,Germany,51.165691,10.451526,2020-06-02,183879,8563,", Germany",83783942.0,285.0,8.0,382.7142857142857,27.285714285714285
,Germany,51.165691,10.451526,2020-06-03,184121,8602,", Germany",83783942.0,242.0,39.0,371.0,24.857142857142858
,Germany,51.165691,10.451526,2020-06-04,184472,8635,", Germany",83783942.0,351.0,33.0,325.14285714285717,23.571428571428573
,Germany,51.165691,10.451526,2020-06-05,184924,8658,", Germany",83783942.0,452.0,23.0,286.0,22.0
,Germany,51.165691,10.451526,2020-06-06,185450,8673,", Germany",83783942.0,526.0,15.0,323.0,20.428571428571427
,Germany,51.165691,10.451526,2020-06-07,185750,8685,", Germany",83783942.0,300.0,12.0,334.2857142857143,20.714285714285715
,Germany,51.165691,10.451526,2020-06-08,186109,8695,", Germany",83783942.0,359.0,10.0,359.2857142857143,20.0
