Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Hebei,China,39.549,116.1306,2020-01-22,1,0,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-01-23,1,1,"Hebei, China",71854202.0,0,1,0,0
Hebei,China,39.549,116.1306,2020-01-24,2,1,"Hebei, China",71854202.0,1,0,0,0
Hebei,China,39.549,116.1306,2020-01-25,8,1,"Hebei, China",71854202.0,6,0,0,0
Hebei,China,39.549,116.1306,2020-01-26,13,1,"Hebei, China",71854202.0,5,0,0,0
Hebei,China,39.549,116.1306,2020-01-27,18,1,"Hebei, China",71854202.0,5,0,0,0
Hebei,China,39.549,116.1306,2020-01-28,33,1,"Hebei, China",71854202.0,15,0,0,0
Hebei,China,39.549,116.1306,2020-01-29,48,1,"Hebei, China",71854202.0,15,0,6,0
Hebei,China,39.549,116.1306,2020-01-30,65,1,"Hebei, China",71854202.0,17,0,9,0
Hebei,China,39.549,116.1306,2020-01-31,82,1,"Hebei, China",71854202.0,17,0,11,0
Hebei,China,39.549,116.1306,2020-02-01,96,1,"Hebei, China",71854202.0,14,0,12,0
Hebei,China,39.549,116.1306,2020-02-02,104,1,"Hebei, China",71854202.0,8,0,13,0
Hebei,China,39.549,116.1306,2020-02-03,113,1,"Hebei, China",71854202.0,9,0,13,0
Hebei,China,39.549,116.1306,2020-02-04,126,1,"Hebei, China",71854202.0,13,0,13,0
Hebei,China,39.549,116.1306,2020-02-05,135,1,"Hebei, China",71854202.0,9,0,12,0
Hebei,China,39.549,116.1306,2020-02-06,157,1,"Hebei, China",71854202.0,22,0,13,0
Hebei,China,39.549,116.1306,2020-02-07,172,1,"Hebei, China",71854202.0,15,0,12,0
Hebei,China,39.549,116.1306,2020-02-08,195,1,"Hebei, China",71854202.0,23,0,14,0
Hebei,China,39.549,116.1306,2020-02-09,206,2,"Hebei, China",71854202.0,11,1,14,0
Hebei,China,39.549,116.1306,2020-02-10,218,2,"Hebei, China",71854202.0,12,0,15,0
Hebei,China,39.549,116.1306,2020-02-11,239,2,"Hebei, China",71854202.0,21,0,16,0
Hebei,China,39.549,116.1306,2020-02-12,251,2,"Hebei, China",71854202.0,12,0,16,0
Hebei,China,39.549,116.1306,2020-02-13,265,3,"Hebei, China",71854202.0,14,1,15,0
Hebei,China,39.549,116.1306,2020-02-14,283,3,"Hebei, China",71854202.0,18,0,15,0
Hebei,China,39.549,116.1306,2020-02-15,291,3,"Hebei, China",71854202.0,8,0,13,0
Hebei,China,39.549,116.1306,2020-02-16,300,3,"Hebei, China",71854202.0,9,0,13,0
Hebei,China,39.549,116.1306,2020-02-17,301,3,"Hebei, China",71854202.0,1,0,11,0
Hebei,China,39.549,116.1306,2020-02-18,306,4,"Hebei, China",71854202.0,5,1,9,0
Hebei,China,39.549,116.1306,2020-02-19,306,4,"Hebei, China",71854202.0,0,0,7,0
Hebei,China,39.549,116.1306,2020-02-20,307,5,"Hebei, China",71854202.0,1,1,6,0
Hebei,China,39.549,116.1306,2020-02-21,308,5,"Hebei, China",71854202.0,1,0,3,0
Hebei,China,39.549,116.1306,2020-02-22,309,6,"Hebei, China",71854202.0,1,1,2,0
Hebei,China,39.549,116.1306,2020-02-23,311,6,"Hebei, China",71854202.0,2,0,1,0
Hebei,China,39.549,116.1306,2020-02-24,311,6,"Hebei, China",71854202.0,0,0,1,0
Hebei,China,39.549,116.1306,2020-02-25,311,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-02-26,312,6,"Hebei, China",71854202.0,1,0,0,0
Hebei,China,39.549,116.1306,2020-02-27,317,6,"Hebei, China",71854202.0,5,0,1,0
Hebei,China,39.549,116.1306,2020-02-28,318,6,"Hebei, China",71854202.0,1,0,1,0
Hebei,China,39.549,116.1306,2020-02-29,318,6,"Hebei, China",71854202.0,0,0,1,0
Hebei,China,39.549,116.1306,2020-03-01,318,6,"Hebei, China",71854202.0,0,0,1,0
Hebei,China,39.549,116.1306,2020-03-02,318,6,"Hebei, China",71854202.0,0,0,1,0
Hebei,China,39.549,116.1306,2020-03-03,318,6,"Hebei, China",71854202.0,0,0,1,0
Hebei,China,39.549,116.1306,2020-03-04,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-05,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-06,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-07,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-08,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-09,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-10,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-11,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-12,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-13,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-14,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-15,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-16,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-17,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-18,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-19,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-20,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-21,318,6,"Hebei, China",71854202.0,0,0,0,0
Hebei,China,39.549,116.1306,2020-03-22,319,6,"Hebei, China",71854202.0,1,0,0,0
