Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Heilongjiang,China,47.862,127.7615,2020-01-22,0,0,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-01-23,2,0,"Heilongjiang, China",38312224.0,2,0,0,0
Heilongjiang,China,47.862,127.7615,2020-01-24,4,1,"Heilongjiang, China",38312224.0,2,1,0,0
Heilongjiang,China,47.862,127.7615,2020-01-25,9,1,"Heilongjiang, China",38312224.0,5,0,0,0
Heilongjiang,China,47.862,127.7615,2020-01-26,15,1,"Heilongjiang, China",38312224.0,6,0,0,0
Heilongjiang,China,47.862,127.7615,2020-01-27,21,1,"Heilongjiang, China",38312224.0,6,0,0,0
Heilongjiang,China,47.862,127.7615,2020-01-28,33,1,"Heilongjiang, China",38312224.0,12,0,0,0
Heilongjiang,China,47.862,127.7615,2020-01-29,38,1,"Heilongjiang, China",38312224.0,5,0,5,0
Heilongjiang,China,47.862,127.7615,2020-01-30,44,2,"Heilongjiang, China",38312224.0,6,1,6,0
Heilongjiang,China,47.862,127.7615,2020-01-31,59,2,"Heilongjiang, China",38312224.0,15,0,7,0
Heilongjiang,China,47.862,127.7615,2020-02-01,80,2,"Heilongjiang, China",38312224.0,21,0,10,0
Heilongjiang,China,47.862,127.7615,2020-02-02,95,2,"Heilongjiang, China",38312224.0,15,0,11,0
Heilongjiang,China,47.862,127.7615,2020-02-03,121,2,"Heilongjiang, China",38312224.0,26,0,14,0
Heilongjiang,China,47.862,127.7615,2020-02-04,155,2,"Heilongjiang, China",38312224.0,34,0,17,0
Heilongjiang,China,47.862,127.7615,2020-02-05,190,2,"Heilongjiang, China",38312224.0,35,0,21,0
Heilongjiang,China,47.862,127.7615,2020-02-06,227,3,"Heilongjiang, China",38312224.0,37,1,26,0
Heilongjiang,China,47.862,127.7615,2020-02-07,277,3,"Heilongjiang, China",38312224.0,50,0,31,0
Heilongjiang,China,47.862,127.7615,2020-02-08,295,5,"Heilongjiang, China",38312224.0,18,2,30,0
Heilongjiang,China,47.862,127.7615,2020-02-09,307,6,"Heilongjiang, China",38312224.0,12,1,30,0
Heilongjiang,China,47.862,127.7615,2020-02-10,331,7,"Heilongjiang, China",38312224.0,24,1,30,0
Heilongjiang,China,47.862,127.7615,2020-02-11,360,8,"Heilongjiang, China",38312224.0,29,1,29,0
Heilongjiang,China,47.862,127.7615,2020-02-12,378,8,"Heilongjiang, China",38312224.0,18,0,26,0
Heilongjiang,China,47.862,127.7615,2020-02-13,395,9,"Heilongjiang, China",38312224.0,17,1,24,0
Heilongjiang,China,47.862,127.7615,2020-02-14,419,11,"Heilongjiang, China",38312224.0,24,2,20,1
Heilongjiang,China,47.862,127.7615,2020-02-15,425,11,"Heilongjiang, China",38312224.0,6,0,18,0
Heilongjiang,China,47.862,127.7615,2020-02-16,445,11,"Heilongjiang, China",38312224.0,20,0,19,0
Heilongjiang,China,47.862,127.7615,2020-02-17,457,11,"Heilongjiang, China",38312224.0,12,0,18,0
Heilongjiang,China,47.862,127.7615,2020-02-18,464,11,"Heilongjiang, China",38312224.0,7,0,14,0
Heilongjiang,China,47.862,127.7615,2020-02-19,470,12,"Heilongjiang, China",38312224.0,6,1,13,0
Heilongjiang,China,47.862,127.7615,2020-02-20,476,12,"Heilongjiang, China",38312224.0,6,0,11,0
Heilongjiang,China,47.862,127.7615,2020-02-21,479,12,"Heilongjiang, China",38312224.0,3,0,8,0
Heilongjiang,China,47.862,127.7615,2020-02-22,479,12,"Heilongjiang, China",38312224.0,0,0,7,0
Heilongjiang,China,47.862,127.7615,2020-02-23,480,12,"Heilongjiang, China",38312224.0,1,0,5,0
Heilongjiang,China,47.862,127.7615,2020-02-24,480,12,"Heilongjiang, China",38312224.0,0,0,3,0
Heilongjiang,China,47.862,127.7615,2020-02-25,480,12,"Heilongjiang, China",38312224.0,0,0,2,0
Heilongjiang,China,47.862,127.7615,2020-02-26,480,12,"Heilongjiang, China",38312224.0,0,0,1,0
Heilongjiang,China,47.862,127.7615,2020-02-27,480,13,"Heilongjiang, China",38312224.0,0,1,0,0
Heilongjiang,China,47.862,127.7615,2020-02-28,480,13,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-02-29,480,13,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-01,480,13,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-02,480,13,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-03,480,13,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-04,480,13,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-05,481,13,"Heilongjiang, China",38312224.0,1,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-06,481,13,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-07,481,13,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-08,481,13,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-09,481,13,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-10,481,13,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-11,482,13,"Heilongjiang, China",38312224.0,1,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-12,482,13,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-13,482,13,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-14,482,13,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-15,482,13,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-16,482,13,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-17,482,13,"Heilongjiang, China",38312224.0,0,0,0,0
Heilongjiang,China,47.862,127.7615,2020-03-18,482,13,"Heilongjiang, China",38312224.0,0,0,0,0
