display_key,combined_key,file_name,country,province,latitude,longitude,population
Afghanistan,", Afghanistan",Afghanistan,Afghanistan,,33.93911,67.709953,38928346.0
Albania,", Albania",Albania,Albania,,41.1533,20.1683,2877797.0
Algeria,", Algeria",Algeria,Algeria,,28.0339,1.6596,43851044.0
Andorra,", Andorra",Andorra,Andorra,,42.5063,1.5218,77265.0
Angola,", Angola",Angola,Angola,,-11.2027,17.8739,32866272.0
Antigua and Barbuda,", Antigua and Barbuda",Antigua and Barbuda,Antigua and Barbuda,,17.0608,-61.7964,97929.0
Argentina,", Argentina",Argentina,Argentina,,-38.4161,-63.6167,45195774.0
Armenia,", Armenia",Armenia,Armenia,,40.0691,45.0382,2963243.0
Australia,", Australia",Australia,Australia,,-35.308056,149.124444,25499884
"Australia, Australian Capital Territory","Australian Capital Territory, Australia",Australian Capital Territory,Australia,Australian Capital Territory,-35.4735,149.0124,429800.0
"Australia, New South Wales","New South Wales, Australia",New South Wales,Australia,New South Wales,-33.8688,151.2093,8157700.0
"Australia, Northern Territory","Northern Territory, Australia",Northern Territory,Australia,Northern Territory,-12.4634,130.8456,245400.0
"Australia, Queensland","Queensland, Australia",Queensland,Australia,Queensland,-27.4698,153.0251,5160000.0
"Australia, South Australia","South Australia, Australia",South Australia,Australia,South Australia,-34.9285,138.6007,1767200.0
"Australia, Tasmania","Tasmania, Australia",Tasmania,Australia,Tasmania,-42.8821,147.3272,539600.0
"Australia, Victoria","Victoria, Australia",Victoria,Australia,Victoria,-37.8136,144.9631,6689400.0
"Australia, Western Australia","Western Australia, Australia",Western Australia,Australia,Western Australia,-31.9505,115.8605,2656200.0
Austria,", Austria",Austria,Austria,,47.5162,14.5501,9006398.0
Azerbaijan,", Azerbaijan",Azerbaijan,Azerbaijan,,40.1431,47.5769,10139177.0
Bahamas,", Bahamas",Bahamas,Bahamas,,25.025885,-78.035889,393244.0
Bahrain,", Bahrain",Bahrain,Bahrain,,26.0275,50.55,1701575.0
Bangladesh,", Bangladesh",Bangladesh,Bangladesh,,23.685,90.3563,164689383.0
Barbados,", Barbados",Barbados,Barbados,,13.1939,-59.5432,287375.0
Belarus,", Belarus",Belarus,Belarus,,53.7098,27.9534,9449323.0
Belgium,", Belgium",Belgium,Belgium,,50.8333,4.469936,11589623.0
Belize,", Belize",Belize,Belize,,17.1899,-88.4976,397628.0
Benin,", Benin",Benin,Benin,,9.3077,2.3158,12123200.0
Bhutan,", Bhutan",Bhutan,Bhutan,,27.5142,90.4336,771608.0
Bolivia,", Bolivia",Bolivia,Bolivia,,-16.2902,-63.5887,11673021.0
Bosnia and Herzegovina,", Bosnia and Herzegovina",Bosnia and Herzegovina,Bosnia and Herzegovina,,43.9159,17.6791,3280819.0
Botswana,", Botswana",Botswana,Botswana,,-22.3285,24.6849,2351627.0
Brazil,", Brazil",Brazil,Brazil,,-14.235,-51.9253,212559417.0
Brunei,", Brunei",Brunei,Brunei,,4.5353,114.7277,437479.0
Bulgaria,", Bulgaria",Bulgaria,Bulgaria,,42.7339,25.4858,6948445.0
Burkina Faso,", Burkina Faso",Burkina Faso,Burkina Faso,,12.2383,-1.5616,20903273.0
Burma,", Burma",Burma,Burma,,21.9162,95.956,54409800.0
Burundi,", Burundi",Burundi,Burundi,,-3.3731,29.9189,11890784.0
Cabo Verde,", Cabo Verde",Cabo Verde,Cabo Verde,,16.5388,-23.0418,555987.0
Cambodia,", Cambodia",Cambodia,Cambodia,,11.55,104.9167,16718965.0
