Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
,Romania,45.9432,24.9668,2020-01-22,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-01-23,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-01-24,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-01-25,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-01-26,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-01-27,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-01-28,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-01-29,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-01-30,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-01-31,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-01,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-02,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-03,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-04,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-05,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-06,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-07,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-08,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-09,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-10,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-11,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-12,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-13,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-14,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-15,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-16,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-17,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-18,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-19,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-20,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-21,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-22,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-23,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-24,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-25,0,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-26,1,0,", Romania",19237691.0,1,0,0,0
,Romania,45.9432,24.9668,2020-02-27,1,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-02-28,3,0,", Romania",19237691.0,2,0,0,0
,Romania,45.9432,24.9668,2020-02-29,3,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-03-01,3,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-03-02,3,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-03-03,3,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-03-04,4,0,", Romania",19237691.0,1,0,0,0
,Romania,45.9432,24.9668,2020-03-05,6,0,", Romania",19237691.0,2,0,0,0
,Romania,45.9432,24.9668,2020-03-06,9,0,", Romania",19237691.0,3,0,0,0
,Romania,45.9432,24.9668,2020-03-07,9,0,", Romania",19237691.0,0,0,0,0
,Romania,45.9432,24.9668,2020-03-08,15,0,", Romania",19237691.0,6,0,1,0
,Romania,45.9432,24.9668,2020-03-09,15,0,", Romania",19237691.0,0,0,1,0
,Romania,45.9432,24.9668,2020-03-10,25,0,", Romania",19237691.0,10,0,3,0
,Romania,45.9432,24.9668,2020-03-11,45,0,", Romania",19237691.0,20,0,5,0
,Romania,45.9432,24.9668,2020-03-12,49,0,", Romania",19237691.0,4,0,6,0
,Romania,45.9432,24.9668,2020-03-13,89,0,", Romania",19237691.0,40,0,11,0
,Romania,45.9432,24.9668,2020-03-14,123,0,", Romania",19237691.0,34,0,16,0
,Romania,45.9432,24.9668,2020-03-15,131,0,", Romania",19237691.0,8,0,16,0
,Romania,45.9432,24.9668,2020-03-16,158,0,", Romania",19237691.0,27,0,20,0
,Romania,45.9432,24.9668,2020-03-17,184,0,", Romania",19237691.0,26,0,22,0
,Romania,45.9432,24.9668,2020-03-18,260,0,", Romania",19237691.0,76,0,30,0
,Romania,45.9432,24.9668,2020-03-19,277,0,", Romania",19237691.0,17,0,32,0
,Romania,45.9432,24.9668,2020-03-20,308,0,", Romania",19237691.0,31,0,31,0
,Romania,45.9432,24.9668,2020-03-21,367,0,", Romania",19237691.0,59,0,34,0
,Romania,45.9432,24.9668,2020-03-22,433,3,", Romania",19237691.0,66,3,43,0
,Romania,45.9432,24.9668,2020-03-23,576,7,", Romania",19237691.0,143,4,59,1
,Romania,45.9432,24.9668,2020-03-24,794,11,", Romania",19237691.0,218,4,87,1
,Romania,45.9432,24.9668,2020-03-25,906,17,", Romania",19237691.0,112,6,92,2
,Romania,45.9432,24.9668,2020-03-26,1029,23,", Romania",19237691.0,123,6,107,3
,Romania,45.9432,24.9668,2020-03-27,1292,26,", Romania",19237691.0,263,3,140,3
,Romania,45.9432,24.9668,2020-03-28,1452,37,", Romania",19237691.0,160,11,155,5
,Romania,45.9432,24.9668,2020-03-29,1815,43,", Romania",19237691.0,363,6,197,5
,Romania,45.9432,24.9668,2020-03-30,2109,65,", Romania",19237691.0,294,22,219,8
,Romania,45.9432,24.9668,2020-03-31,2245,82,", Romania",19237691.0,136,17,207,10
,Romania,45.9432,24.9668,2020-04-01,2460,92,", Romania",19237691.0,215,10,222,10
,Romania,45.9432,24.9668,2020-04-02,2738,115,", Romania",19237691.0,278,23,244,13
,Romania,45.9432,24.9668,2020-04-03,3183,133,", Romania",19237691.0,445,18,270,15
,Romania,45.9432,24.9668,2020-04-04,3613,146,", Romania",19237691.0,430,13,308,15
,Romania,45.9432,24.9668,2020-04-05,3864,151,", Romania",19237691.0,251,5,292,15
,Romania,45.9432,24.9668,2020-04-06,4057,176,", Romania",19237691.0,193,25,278,15
,Romania,45.9432,24.9668,2020-04-07,4417,197,", Romania",19237691.0,360,21,310,16
,Romania,45.9432,24.9668,2020-04-08,4761,220,", Romania",19237691.0,344,23,328,18
,Romania,45.9432,24.9668,2020-04-09,5202,248,", Romania",19237691.0,441,28,352,19
,Romania,45.9432,24.9668,2020-04-10,5467,270,", Romania",19237691.0,265,22,326,19
,Romania,45.9432,24.9668,2020-04-11,5990,291,", Romania",19237691.0,523,21,339,20
,Romania,45.9432,24.9668,2020-04-12,6300,316,", Romania",19237691.0,310,25,348,23
,Romania,45.9432,24.9668,2020-04-13,6633,331,", Romania",19237691.0,333,15,368,22
,Romania,45.9432,24.9668,2020-04-14,6879,351,", Romania",19237691.0,246,20,351,22
,Romania,45.9432,24.9668,2020-04-15,7216,372,", Romania",19237691.0,337,21,350,21
,Romania,45.9432,24.9668,2020-04-16,7707,392,", Romania",19237691.0,491,20,357,20
,Romania,45.9432,24.9668,2020-04-17,8067,411,", Romania",19237691.0,360,19,371,20
,Romania,45.9432,24.9668,2020-04-18,8418,421,", Romania",19237691.0,351,10,346,18
,Romania,45.9432,24.9668,2020-04-19,8746,451,", Romania",19237691.0,328,30,349,19
,Romania,45.9432,24.9668,2020-04-20,8936,478,", Romania",19237691.0,190,27,329,21
,Romania,45.9432,24.9668,2020-04-21,9242,498,", Romania",19237691.0,306,20,337,21
,Romania,45.9432,24.9668,2020-04-22,9710,524,", Romania",19237691.0,468,26,356,21
,Romania,45.9432,24.9668,2020-04-23,10096,545,", Romania",19237691.0,386,21,341,21
,Romania,45.9432,24.9668,2020-04-24,10417,567,", Romania",19237691.0,321,22,335,22
,Romania,45.9432,24.9668,2020-04-25,10635,601,", Romania",19237691.0,218,34,316,25
,Romania,45.9432,24.9668,2020-04-26,11036,619,", Romania",19237691.0,401,18,327,24
,Romania,45.9432,24.9668,2020-04-27,11339,641,", Romania",19237691.0,303,22,343,23
,Romania,45.9432,24.9668,2020-04-28,11616,663,", Romania",19237691.0,277,22,339,23
,Romania,45.9432,24.9668,2020-04-29,11978,693,", Romania",19237691.0,362,30,324,24
,Romania,45.9432,24.9668,2020-04-30,12240,717,", Romania",19237691.0,262,24,306,24
,Romania,45.9432,24.9668,2020-05-01,12567,744,", Romania",19237691.0,327,27,307,25
,Romania,45.9432,24.9668,2020-05-02,12732,771,", Romania",19237691.0,165,27,299,24
,Romania,45.9432,24.9668,2020-05-03,13163,790,", Romania",19237691.0,431,19,303,24
,Romania,45.9432,24.9668,2020-05-04,13512,818,", Romania",19237691.0,349,28,310,25
,Romania,45.9432,24.9668,2020-05-05,13837,841,", Romania",19237691.0,325,23,317,25
,Romania,45.9432,24.9668,2020-05-06,14107,864,", Romania",19237691.0,270,23,304,24
,Romania,45.9432,24.9668,2020-05-07,14499,888,", Romania",19237691.0,392,24,322,24
,Romania,45.9432,24.9668,2020-05-08,14811,923,", Romania",19237691.0,312,35,320,25
,Romania,45.9432,24.9668,2020-05-09,15131,939,", Romania",19237691.0,320,16,342,24
,Romania,45.9432,24.9668,2020-05-10,15362,961,", Romania",19237691.0,231,22,314,24
,Romania,45.9432,24.9668,2020-05-11,15588,982,", Romania",19237691.0,226,21,296,23
,Romania,45.9432,24.9668,2020-05-12,15778,1002,", Romania",19237691.0,190,20,277,23
,Romania,45.9432,24.9668,2020-05-13,16002,1036,", Romania",19237691.0,224,34,270,24
,Romania,45.9432,24.9668,2020-05-14,16247,1053,", Romania",19237691.0,245,17,249,23
,Romania,45.9432,24.9668,2020-05-15,16437,1070,", Romania",19237691.0,190,17,232,21
,Romania,45.9432,24.9668,2020-05-16,16704,1094,", Romania",19237691.0,267,24,224,22
,Romania,45.9432,24.9668,2020-05-17,16871,1107,", Romania",19237691.0,167,13,215,20
,Romania,45.9432,24.9668,2020-05-18,17036,1120,", Romania",19237691.0,165,13,206,19
,Romania,45.9432,24.9668,2020-05-19,17191,1137,", Romania",19237691.0,155,17,201,19
,Romania,45.9432,24.9668,2020-05-20,17387,1147,", Romania",19237691.0,196,10,197,15
,Romania,45.9432,24.9668,2020-05-21,17585,1156,", Romania",19237691.0,198,9,191,14
,Romania,45.9432,24.9668,2020-05-22,17712,1166,", Romania",19237691.0,127,10,182,13
,Romania,45.9432,24.9668,2020-05-23,17857,1176,", Romania",19237691.0,145,10,164,11
,Romania,45.9432,24.9668,2020-05-24,18070,1185,", Romania",19237691.0,213,9,171,11
,Romania,45.9432,24.9668,2020-05-25,18283,1205,", Romania",19237691.0,213,20,178,12
,Romania,45.9432,24.9668,2020-05-26,18429,1216,", Romania",19237691.0,146,11,176,11
,Romania,45.9432,24.9668,2020-05-27,18594,1227,", Romania",19237691.0,165,11,172,11
,Romania,45.9432,24.9668,2020-05-28,18791,1235,", Romania",19237691.0,197,8,172,11
,Romania,45.9432,24.9668,2020-05-29,18982,1248,", Romania",19237691.0,191,13,181,11
,Romania,45.9432,24.9668,2020-05-30,19133,1259,", Romania",19237691.0,151,11,182,11
,Romania,45.9432,24.9668,2020-05-31,19257,1266,", Romania",19237691.0,124,7,169,11
,Romania,45.9432,24.9668,2020-06-01,19398,1276,", Romania",19237691.0,141,10,159,10
,Romania,45.9432,24.9668,2020-06-02,19517,1288,", Romania",19237691.0,119,12,155,10
,Romania,45.9432,24.9668,2020-06-03,19669,1296,", Romania",19237691.0,152,8,153,9
