Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
,San Marino,43.9424,12.4578,2020-01-22,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-01-23,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-01-24,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-01-25,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-01-26,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-01-27,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-01-28,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-01-29,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-01-30,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-01-31,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-01,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-02,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-03,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-04,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-05,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-06,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-07,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-08,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-09,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-10,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-11,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-12,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-13,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-14,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-15,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-16,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-17,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-18,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-19,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-20,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-21,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-22,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-23,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-24,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-25,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-26,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-27,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-28,0,0,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-02-29,1,1,", San Marino",33931.0,1,1,0,0
,San Marino,43.9424,12.4578,2020-03-01,1,1,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-03-02,1,1,", San Marino",33931.0,0,0,0,0
,San Marino,43.9424,12.4578,2020-03-03,9,1,", San Marino",33931.0,8,0,1,0
,San Marino,43.9424,12.4578,2020-03-04,9,1,", San Marino",33931.0,0,0,1,0
,San Marino,43.9424,12.4578,2020-03-05,16,1,", San Marino",33931.0,7,0,2,0
,San Marino,43.9424,12.4578,2020-03-06,22,1,", San Marino",33931.0,6,0,3,0
,San Marino,43.9424,12.4578,2020-03-07,24,1,", San Marino",33931.0,2,0,3,0
,San Marino,43.9424,12.4578,2020-03-08,27,1,", San Marino",33931.0,3,0,3,0
,San Marino,43.9424,12.4578,2020-03-09,37,1,", San Marino",33931.0,10,0,5,0
,San Marino,43.9424,12.4578,2020-03-10,49,2,", San Marino",33931.0,12,1,5,0
,San Marino,43.9424,12.4578,2020-03-11,60,2,", San Marino",33931.0,11,0,7,0
,San Marino,43.9424,12.4578,2020-03-12,60,2,", San Marino",33931.0,0,0,6,0
,San Marino,43.9424,12.4578,2020-03-13,64,5,", San Marino",33931.0,4,3,6,0
,San Marino,43.9424,12.4578,2020-03-14,77,5,", San Marino",33931.0,13,0,7,0
,San Marino,43.9424,12.4578,2020-03-15,77,5,", San Marino",33931.0,0,0,7,0
,San Marino,43.9424,12.4578,2020-03-16,77,5,", San Marino",33931.0,0,0,5,0
,San Marino,43.9424,12.4578,2020-03-17,102,9,", San Marino",33931.0,25,4,7,1
,San Marino,43.9424,12.4578,2020-03-18,104,11,", San Marino",33931.0,2,2,6,1
,San Marino,43.9424,12.4578,2020-03-19,109,14,", San Marino",33931.0,5,3,7,1
,San Marino,43.9424,12.4578,2020-03-20,126,14,", San Marino",33931.0,17,0,8,1
,San Marino,43.9424,12.4578,2020-03-21,151,20,", San Marino",33931.0,25,6,10,2
,San Marino,43.9424,12.4578,2020-03-22,175,20,", San Marino",33931.0,24,0,14,2
,San Marino,43.9424,12.4578,2020-03-23,187,20,", San Marino",33931.0,12,0,15,2
,San Marino,43.9424,12.4578,2020-03-24,187,21,", San Marino",33931.0,0,1,12,1
,San Marino,43.9424,12.4578,2020-03-25,208,21,", San Marino",33931.0,21,0,14,1
,San Marino,43.9424,12.4578,2020-03-26,218,21,", San Marino",33931.0,10,0,15,1
,San Marino,43.9424,12.4578,2020-03-27,223,21,", San Marino",33931.0,5,0,13,1
,San Marino,43.9424,12.4578,2020-03-28,228,22,", San Marino",33931.0,5,1,11,0
,San Marino,43.9424,12.4578,2020-03-29,228,22,", San Marino",33931.0,0,0,7,0
,San Marino,43.9424,12.4578,2020-03-30,230,25,", San Marino",33931.0,2,3,6,0
,San Marino,43.9424,12.4578,2020-03-31,236,26,", San Marino",33931.0,6,1,7,0
,San Marino,43.9424,12.4578,2020-04-01,236,28,", San Marino",33931.0,0,2,4,1
,San Marino,43.9424,12.4578,2020-04-02,236,28,", San Marino",33931.0,0,0,2,1
,San Marino,43.9424,12.4578,2020-04-03,245,30,", San Marino",33931.0,9,2,3,1
,San Marino,43.9424,12.4578,2020-04-04,252,32,", San Marino",33931.0,7,2,3,1
,San Marino,43.9424,12.4578,2020-04-05,259,32,", San Marino",33931.0,7,0,4,1
,San Marino,43.9424,12.4578,2020-04-06,266,32,", San Marino",33931.0,7,0,5,1
,San Marino,43.9424,12.4578,2020-04-07,277,32,", San Marino",33931.0,11,0,5,0
,San Marino,43.9424,12.4578,2020-04-08,279,34,", San Marino",33931.0,2,2,6,0
,San Marino,43.9424,12.4578,2020-04-09,308,34,", San Marino",33931.0,29,0,10,0
,San Marino,43.9424,12.4578,2020-04-10,344,34,", San Marino",33931.0,36,0,14,0
,San Marino,43.9424,12.4578,2020-04-11,344,34,", San Marino",33931.0,0,0,13,0
,San Marino,43.9424,12.4578,2020-04-12,356,35,", San Marino",33931.0,12,1,13,0
,San Marino,43.9424,12.4578,2020-04-13,356,35,", San Marino",33931.0,0,0,12,0
,San Marino,43.9424,12.4578,2020-04-14,371,36,", San Marino",33931.0,15,1,13,0
,San Marino,43.9424,12.4578,2020-04-15,372,36,", San Marino",33931.0,1,0,13,0
,San Marino,43.9424,12.4578,2020-04-16,393,36,", San Marino",33931.0,21,0,12,0
,San Marino,43.9424,12.4578,2020-04-17,426,38,", San Marino",33931.0,33,2,11,0
,San Marino,43.9424,12.4578,2020-04-18,426,38,", San Marino",33931.0,0,0,11,0
,San Marino,43.9424,12.4578,2020-04-19,455,39,", San Marino",33931.0,29,1,14,0
,San Marino,43.9424,12.4578,2020-04-20,461,39,", San Marino",33931.0,6,0,15,0
,San Marino,43.9424,12.4578,2020-04-21,462,39,", San Marino",33931.0,1,0,13,0
,San Marino,43.9424,12.4578,2020-04-22,476,40,", San Marino",33931.0,14,1,14,0
,San Marino,43.9424,12.4578,2020-04-23,488,40,", San Marino",33931.0,12,0,13,0
,San Marino,43.9424,12.4578,2020-04-24,501,40,", San Marino",33931.0,13,0,10,0
,San Marino,43.9424,12.4578,2020-04-25,513,40,", San Marino",33931.0,12,0,12,0
,San Marino,43.9424,12.4578,2020-04-26,513,40,", San Marino",33931.0,0,0,8,0
,San Marino,43.9424,12.4578,2020-04-27,538,41,", San Marino",33931.0,25,1,11,0
,San Marino,43.9424,12.4578,2020-04-28,538,41,", San Marino",33931.0,0,0,10,0
,San Marino,43.9424,12.4578,2020-04-29,553,41,", San Marino",33931.0,15,0,11,0
,San Marino,43.9424,12.4578,2020-04-30,563,41,", San Marino",33931.0,10,0,10,0
,San Marino,43.9424,12.4578,2020-05-01,569,41,", San Marino",33931.0,6,0,9,0
,San Marino,43.9424,12.4578,2020-05-02,580,41,", San Marino",33931.0,11,0,9,0
,San Marino,43.9424,12.4578,2020-05-03,580,41,", San Marino",33931.0,0,0,9,0
