Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
,Spain,40.463667,-3.74922,2020-01-22,0,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-01-23,0,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-01-24,0,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-01-25,0,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-01-26,0,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-01-27,0,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-01-28,0,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-01-29,0,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-01-30,0,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-01-31,0,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-01,1,0,", Spain",46754778.0,1,0,0,0
,Spain,40.463667,-3.74922,2020-02-02,1,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-03,1,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-04,1,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-05,1,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-06,1,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-07,1,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-08,1,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-09,2,0,", Spain",46754778.0,1,0,0,0
,Spain,40.463667,-3.74922,2020-02-10,2,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-11,2,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-12,2,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-13,2,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-14,2,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-15,2,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-16,2,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-17,2,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-18,2,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-19,2,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-20,2,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-21,2,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-22,2,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-23,2,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-24,2,0,", Spain",46754778.0,0,0,0,0
,Spain,40.463667,-3.74922,2020-02-25,6,0,", Spain",46754778.0,4,0,0,0
,Spain,40.463667,-3.74922,2020-02-26,13,0,", Spain",46754778.0,7,0,1,0
,Spain,40.463667,-3.74922,2020-02-27,15,0,", Spain",46754778.0,2,0,1,0
,Spain,40.463667,-3.74922,2020-02-28,32,0,", Spain",46754778.0,17,0,4,0
,Spain,40.463667,-3.74922,2020-02-29,45,0,", Spain",46754778.0,13,0,6,0
,Spain,40.463667,-3.74922,2020-03-01,84,0,", Spain",46754778.0,39,0,11,0
,Spain,40.463667,-3.74922,2020-03-02,120,0,", Spain",46754778.0,36,0,16,0
,Spain,40.463667,-3.74922,2020-03-03,165,1,", Spain",46754778.0,45,1,22,0
,Spain,40.463667,-3.74922,2020-03-04,222,2,", Spain",46754778.0,57,1,29,0
,Spain,40.463667,-3.74922,2020-03-05,259,3,", Spain",46754778.0,37,1,34,0
,Spain,40.463667,-3.74922,2020-03-06,400,5,", Spain",46754778.0,141,2,52,0
,Spain,40.463667,-3.74922,2020-03-07,500,10,", Spain",46754778.0,100,5,65,1
,Spain,40.463667,-3.74922,2020-03-08,673,17,", Spain",46754778.0,173,7,84,2
,Spain,40.463667,-3.74922,2020-03-09,1073,28,", Spain",46754778.0,400,11,136,4
,Spain,40.463667,-3.74922,2020-03-10,1695,35,", Spain",46754778.0,622,7,218,4
,Spain,40.463667,-3.74922,2020-03-11,2277,54,", Spain",46754778.0,582,19,293,7
,Spain,40.463667,-3.74922,2020-03-12,2277,55,", Spain",46754778.0,0,1,288,7
,Spain,40.463667,-3.74922,2020-03-13,5232,133,", Spain",46754778.0,2955,78,690,18
,Spain,40.463667,-3.74922,2020-03-14,6391,195,", Spain",46754778.0,1159,62,841,26
,Spain,40.463667,-3.74922,2020-03-15,7798,289,", Spain",46754778.0,1407,94,1017,38
,Spain,40.463667,-3.74922,2020-03-16,9942,342,", Spain",46754778.0,2144,53,1267,44
,Spain,40.463667,-3.74922,2020-03-17,11748,533,", Spain",46754778.0,1806,191,1436,71
,Spain,40.463667,-3.74922,2020-03-18,13910,623,", Spain",46754778.0,2162,90,1661,81
,Spain,40.463667,-3.74922,2020-03-19,17963,830,", Spain",46754778.0,4053,207,2240,110
,Spain,40.463667,-3.74922,2020-03-20,20410,1043,", Spain",46754778.0,2447,213,2168,130
,Spain,40.463667,-3.74922,2020-03-21,25374,1375,", Spain",46754778.0,4964,332,2711,168
,Spain,40.463667,-3.74922,2020-03-22,28768,1772,", Spain",46754778.0,3394,397,2995,211
,Spain,40.463667,-3.74922,2020-03-23,35136,2311,", Spain",46754778.0,6368,539,3599,281
,Spain,40.463667,-3.74922,2020-03-24,39885,2808,", Spain",46754778.0,4749,497,4019,325
,Spain,40.463667,-3.74922,2020-03-25,49515,3647,", Spain",46754778.0,9630,839,5086,432
,Spain,40.463667,-3.74922,2020-03-26,57786,4365,", Spain",46754778.0,8271,718,5689,505
,Spain,40.463667,-3.74922,2020-03-27,65719,5138,", Spain",46754778.0,7933,773,6472,585
,Spain,40.463667,-3.74922,2020-03-28,73235,5982,", Spain",46754778.0,7516,844,6837,658
,Spain,40.463667,-3.74922,2020-03-29,80110,6803,", Spain",46754778.0,6875,821,7334,718
,Spain,40.463667,-3.74922,2020-03-30,87956,7716,", Spain",46754778.0,7846,913,7545,772
,Spain,40.463667,-3.74922,2020-03-31,95923,8464,", Spain",46754778.0,7967,748,8005,808
,Spain,40.463667,-3.74922,2020-04-01,104118,9387,", Spain",46754778.0,8195,923,7800,820
,Spain,40.463667,-3.74922,2020-04-02,112065,10348,", Spain",46754778.0,7947,961,7754,854
,Spain,40.463667,-3.74922,2020-04-03,119199,11198,", Spain",46754778.0,7134,850,7640,865
,Spain,40.463667,-3.74922,2020-04-04,126168,11947,", Spain",46754778.0,6969,749,7561,852
,Spain,40.463667,-3.74922,2020-04-05,131646,12641,", Spain",46754778.0,5478,694,7362,834
,Spain,40.463667,-3.74922,2020-04-06,136675,13341,", Spain",46754778.0,5029,700,6959,803
,Spain,40.463667,-3.74922,2020-04-07,141942,14045,", Spain",46754778.0,5267,704,6574,797
,Spain,40.463667,-3.74922,2020-04-08,148220,14792,", Spain",46754778.0,6278,747,6300,772
,Spain,40.463667,-3.74922,2020-04-09,153222,15447,", Spain",46754778.0,5002,655,5879,728
,Spain,40.463667,-3.74922,2020-04-10,158273,16081,", Spain",46754778.0,5051,634,5582,697
,Spain,40.463667,-3.74922,2020-04-11,163027,16606,", Spain",46754778.0,4754,525,5265,665
,Spain,40.463667,-3.74922,2020-04-12,166831,17209,", Spain",46754778.0,3804,603,5026,652
,Spain,40.463667,-3.74922,2020-04-13,170099,17756,", Spain",46754778.0,3268,547,4774,630
,Spain,40.463667,-3.74922,2020-04-14,172541,18056,", Spain",46754778.0,2442,300,4371,573
,Spain,40.463667,-3.74922,2020-04-15,177644,18708,", Spain",46754778.0,5103,652,4203,559
,Spain,40.463667,-3.74922,2020-04-16,184948,19315,", Spain",46754778.0,7304,607,4532,552
,Spain,40.463667,-3.74922,2020-04-17,190839,20002,", Spain",46754778.0,5891,687,4652,560
,Spain,40.463667,-3.74922,2020-04-18,191726,20043,", Spain",46754778.0,887,41,4099,491
,Spain,40.463667,-3.74922,2020-04-19,198674,20453,", Spain",46754778.0,6948,410,4549,463
,Spain,40.463667,-3.74922,2020-04-20,200210,20852,", Spain",46754778.0,1536,399,4301,442
,Spain,40.463667,-3.74922,2020-04-21,204178,21282,", Spain",46754778.0,3968,430,4519,460
,Spain,40.463667,-3.74922,2020-04-22,208389,21717,", Spain",46754778.0,4211,435,4392,429
,Spain,40.463667,-3.74922,2020-04-23,213024,22157,", Spain",46754778.0,4635,440,4010,406
,Spain,40.463667,-3.74922,2020-04-24,202990,22524,", Spain",46754778.0,-10034,367,1735,360
,Spain,40.463667,-3.74922,2020-04-25,205905,22902,", Spain",46754778.0,2915,378,2025,408
,Spain,40.463667,-3.74922,2020-04-26,207634,23190,", Spain",46754778.0,1729,288,1280,391
,Spain,40.463667,-3.74922,2020-04-27,209465,23521,", Spain",46754778.0,1831,331,1322,381
,Spain,40.463667,-3.74922,2020-04-28,210773,23822,", Spain",46754778.0,1308,301,942,362
,Spain,40.463667,-3.74922,2020-04-29,212917,24275,", Spain",46754778.0,2144,453,646,365
,Spain,40.463667,-3.74922,2020-04-30,213435,24543,", Spain",46754778.0,518,268,58,340
