Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
,Switzerland,46.8182,8.2275,2020-01-22,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-01-23,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-01-24,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-01-25,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-01-26,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-01-27,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-01-28,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-01-29,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-01-30,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-01-31,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-01,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-02,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-03,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-04,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-05,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-06,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-07,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-08,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-09,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-10,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-11,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-12,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-13,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-14,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-15,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-16,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-17,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-18,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-19,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-20,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-21,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-22,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-23,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-24,0,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-25,1,0,", Switzerland",8654622.0,1,0,0,0
,Switzerland,46.8182,8.2275,2020-02-26,1,0,", Switzerland",8654622.0,0,0,0,0
,Switzerland,46.8182,8.2275,2020-02-27,8,0,", Switzerland",8654622.0,7,0,1,0
,Switzerland,46.8182,8.2275,2020-02-28,8,0,", Switzerland",8654622.0,0,0,1,0
,Switzerland,46.8182,8.2275,2020-02-29,18,0,", Switzerland",8654622.0,10,0,2,0
,Switzerland,46.8182,8.2275,2020-03-01,27,0,", Switzerland",8654622.0,9,0,3,0
,Switzerland,46.8182,8.2275,2020-03-02,42,0,", Switzerland",8654622.0,15,0,6,0
,Switzerland,46.8182,8.2275,2020-03-03,56,0,", Switzerland",8654622.0,14,0,7,0
,Switzerland,46.8182,8.2275,2020-03-04,90,0,", Switzerland",8654622.0,34,0,12,0
,Switzerland,46.8182,8.2275,2020-03-05,114,0,", Switzerland",8654622.0,24,0,15,0
,Switzerland,46.8182,8.2275,2020-03-06,214,1,", Switzerland",8654622.0,100,1,29,0
,Switzerland,46.8182,8.2275,2020-03-07,268,1,", Switzerland",8654622.0,54,0,35,0
,Switzerland,46.8182,8.2275,2020-03-08,337,2,", Switzerland",8654622.0,69,1,44,0
,Switzerland,46.8182,8.2275,2020-03-09,374,2,", Switzerland",8654622.0,37,0,47,0
