Province_State,Country_Region,Lat,Long,Date,Population,Confirmed,Deaths,Combined_Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
West Virginia,US,38.4758406,-80.8408415,2020-01-22,333281014,1,0,"West Virginia, US",,,,
West Virginia,US,38.4758406,-80.8408415,2020-01-23,333281014,1,0,"West Virginia, US",0.0,0.0,,
West Virginia,US,38.4758406,-80.8408415,2020-01-24,333281014,2,0,"West Virginia, US",1.0,0.0,,
West Virginia,US,38.4758406,-80.8408415,2020-01-25,333281014,2,0,"West Virginia, US",0.0,0.0,,
West Virginia,US,38.4758406,-80.8408415,2020-01-26,333281014,5,0,"West Virginia, US",3.0,0.0,,
West Virginia,US,38.4758406,-80.8408415,2020-01-27,333281014,5,0,"West Virginia, US",0.0,0.0,,
West Virginia,US,38.4758406,-80.8408415,2020-01-28,333281014,5,0,"West Virginia, US",0.0,0.0,,
West Virginia,US,38.4758406,-80.8408415,2020-01-29,333281014,6,0,"West Virginia, US",1.0,0.0,0.7142857142857143,0.0
West Virginia,US,38.4758406,-80.8408415,2020-01-30,333281014,6,0,"West Virginia, US",0.0,0.0,0.7142857142857143,0.0
West Virginia,US,38.4758406,-80.8408415,2020-01-31,333281014,8,0,"West Virginia, US",2.0,0.0,0.8571428571428571,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-01,333281014,8,0,"West Virginia, US",0.0,0.0,0.8571428571428571,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-02,333281014,8,0,"West Virginia, US",0.0,0.0,0.42857142857142855,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-03,333281014,11,0,"West Virginia, US",3.0,0.0,0.8571428571428571,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-04,333281014,11,0,"West Virginia, US",0.0,0.0,0.8571428571428571,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-05,333281014,11,0,"West Virginia, US",0.0,0.0,0.7142857142857143,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-06,333281014,12,0,"West Virginia, US",1.0,0.0,0.8571428571428571,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-07,333281014,12,0,"West Virginia, US",0.0,0.0,0.5714285714285714,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-08,333281014,12,0,"West Virginia, US",0.0,0.0,0.5714285714285714,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-09,333281014,12,0,"West Virginia, US",0.0,0.0,0.5714285714285714,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-10,333281014,12,0,"West Virginia, US",0.0,0.0,0.14285714285714285,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-11,333281014,13,0,"West Virginia, US",1.0,0.0,0.2857142857142857,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-12,333281014,13,0,"West Virginia, US",0.0,0.0,0.2857142857142857,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-13,333281014,14,0,"West Virginia, US",1.0,0.0,0.2857142857142857,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-14,333281014,14,0,"West Virginia, US",0.0,0.0,0.2857142857142857,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-15,333281014,14,0,"West Virginia, US",0.0,0.0,0.2857142857142857,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-16,333281014,14,0,"West Virginia, US",0.0,0.0,0.2857142857142857,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-17,333281014,14,0,"West Virginia, US",0.0,0.0,0.2857142857142857,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-18,333281014,14,0,"West Virginia, US",0.0,0.0,0.14285714285714285,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-19,333281014,14,0,"West Virginia, US",0.0,0.0,0.14285714285714285,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-20,333281014,14,0,"West Virginia, US",0.0,0.0,0.0,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-21,333281014,16,0,"West Virginia, US",2.0,0.0,0.2857142857142857,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-22,333281014,16,0,"West Virginia, US",0.0,0.0,0.2857142857142857,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-23,333281014,16,0,"West Virginia, US",0.0,0.0,0.2857142857142857,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-24,333281014,16,0,"West Virginia, US",0.0,0.0,0.2857142857142857,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-25,333281014,16,0,"West Virginia, US",0.0,0.0,0.2857142857142857,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-26,333281014,16,0,"West Virginia, US",0.0,0.0,0.2857142857142857,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-27,333281014,17,0,"West Virginia, US",1.0,0.0,0.42857142857142855,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-28,333281014,17,0,"West Virginia, US",0.0,0.0,0.14285714285714285,0.0
West Virginia,US,38.4758406,-80.8408415,2020-02-29,333281014,25,1,"West Virginia, US",8.0,1.0,1.2857142857142858,0.14285714285714285
West Virginia,US,38.4758406,-80.8408415,2020-03-01,333281014,32,1,"West Virginia, US",7.0,0.0,2.2857142857142856,0.14285714285714285
West Virginia,US,38.4758406,-80.8408415,2020-03-02,333281014,55,6,"West Virginia, US",23.0,5.0,5.571428571428571,0.8571428571428571
West Virginia,US,38.4758406,-80.8408415,2020-03-03,333281014,74,7,"West Virginia, US",19.0,1.0,8.285714285714286,1.0
West Virginia,US,38.4758406,-80.8408415,2020-03-04,333281014,107,11,"West Virginia, US",33.0,4.0,13.0,1.5714285714285714
West Virginia,US,38.4758406,-80.8408415,2020-03-05,333281014,184,12,"West Virginia, US",77.0,1.0,23.857142857142858,1.7142857142857142
West Virginia,US,38.4758406,-80.8408415,2020-03-06,333281014,237,14,"West Virginia, US",53.0,2.0,31.428571428571427,2.0
West Virginia,US,38.4758406,-80.8408415,2020-03-07,333281014,403,17,"West Virginia, US",166.0,3.0,54.0,2.2857142857142856
West Virginia,US,38.4758406,-80.8408415,2020-03-08,333281014,519,21,"West Virginia, US",116.0,4.0,69.57142857142857,2.857142857142857
West Virginia,US,38.4758406,-80.8408415,2020-03-09,333281014,594,22,"West Virginia, US",75.0,1.0,77.0,2.2857142857142856
West Virginia,US,38.4758406,-80.8408415,2020-03-10,333281014,788,28,"West Virginia, US",194.0,6.0,102.0,3.0
West Virginia,US,38.4758406,-80.8408415,2020-03-11,333281014,1151,33,"West Virginia, US",363.0,5.0,149.14285714285714,3.142857142857143
West Virginia,US,38.4758406,-80.8408415,2020-03-12,333281014,1627,43,"West Virginia, US",476.0,10.0,206.14285714285714,4.428571428571429
West Virginia,US,38.4758406,-80.8408415,2020-03-13,333281014,2333,51,"West Virginia, US",706.0,8.0,299.42857142857144,5.285714285714286
West Virginia,US,38.4758406,-80.8408415,2020-03-14,333281014,3092,59,"West Virginia, US",759.0,8.0,384.14285714285717,6.0
West Virginia,US,38.4758406,-80.8408415,2020-03-15,333281014,3230,71,"West Virginia, US",138.0,12.0,387.2857142857143,7.142857142857143
West Virginia,US,38.4758406,-80.8408415,2020-03-16,333281014,4693,99,"West Virginia, US",1463.0,28.0,585.5714285714286,11.0
West Virginia,US,38.4758406,-80.8408415,2020-03-17,333281014,6534,139,"West Virginia, US",1841.0,40.0,820.8571428571429,15.857142857142858
West Virginia,US,38.4758406,-80.8408415,2020-03-18,333281014,9185,203,"West Virginia, US",2651.0,64.0,1147.7142857142858,24.285714285714285
West Virginia,US,38.4758406,-80.8408415,2020-03-19,333281014,14200,291,"West Virginia, US",5015.0,88.0,1796.142857142857,35.42857142857143
West Virginia,US,38.4758406,-80.8408415,2020-03-20,333281014,21127,399,"West Virginia, US",6927.0,108.0,2684.8571428571427,49.714285714285715
West Virginia,US,38.4758406,-80.8408415,2020-03-21,333281014,26655,500,"West Virginia, US",5528.0,101.0,3366.1428571428573,63.0
West Virginia,US,38.4758406,-80.8408415,2020-03-22,333281014,35591,629,"West Virginia, US",8936.0,129.0,4623.0,79.71428571428571
West Virginia,US,38.4758406,-80.8408415,2020-03-23,333281014,47292,844,"West Virginia, US",11701.0,215.0,6085.571428571428,106.42857142857143
West Virginia,US,38.4758406,-80.8408415,2020-03-24,333281014,57913,1136,"West Virginia, US",10621.0,292.0,7339.857142857143,142.42857142857142
West Virginia,US,38.4758406,-80.8408415,2020-03-25,333281014,70358,1504,"West Virginia, US",12445.0,368.0,8739.0,185.85714285714286
West Virginia,US,38.4758406,-80.8408415,2020-03-26,333281014,89639,1999,"West Virginia, US",19281.0,495.0,10777.0,244.0
West Virginia,US,38.4758406,-80.8408415,2020-03-27,333281014,108545,2600,"West Virginia, US",18906.0,601.0,12488.285714285714,314.42857142857144
West Virginia,US,38.4758406,-80.8408415,2020-03-28,333281014,128837,3281,"West Virginia, US",20292.0,681.0,14597.42857142857,397.2857142857143
West Virginia,US,38.4758406,-80.8408415,2020-03-29,333281014,148655,3919,"West Virginia, US",19818.0,638.0,16152.0,470.0
West Virginia,US,38.4758406,-80.8408415,2020-03-30,333281014,171987,4751,"West Virginia, US",23332.0,832.0,17813.571428571428,558.1428571428571
West Virginia,US,38.4758406,-80.8408415,2020-03-31,333281014,198081,6149,"West Virginia, US",26094.0,1398.0,20024.0,716.1428571428571
West Virginia,US,38.4758406,-80.8408415,2020-04-01,333281014,232147,7320,"West Virginia, US",34066.0,1171.0,23112.714285714286,830.8571428571429
West Virginia,US,38.4758406,-80.8408415,2020-04-02,333281014,264805,9016,"West Virginia, US",32658.0,1696.0,25023.714285714286,1002.4285714285714
West Virginia,US,38.4758406,-80.8408415,2020-04-03,333281014,297446,10622,"West Virginia, US",32641.0,1606.0,26985.85714285714,1146.0
West Virginia,US,38.4758406,-80.8408415,2020-04-04,333281014,328761,12402,"West Virginia, US",31315.0,1780.0,28560.571428571428,1303.0
West Virginia,US,38.4758406,-80.8408415,2020-04-05,333281014,359050,14224,"West Virginia, US",30289.0,1822.0,30056.428571428572,1472.142857142857
West Virginia,US,38.4758406,-80.8408415,2020-04-06,333281014,390738,16299,"West Virginia, US",31688.0,2075.0,31250.14285714286,1649.7142857142858
West Virginia,US,38.4758406,-80.8408415,2020-04-07,333281014,420711,19228,"West Virginia, US",29973.0,2929.0,31804.285714285714,1868.4285714285713
West Virginia,US,38.4758406,-80.8408415,2020-04-08,333281014,451654,21623,"West Virginia, US",30943.0,2395.0,31358.14285714286,2043.2857142857142
West Virginia,US,38.4758406,-80.8408415,2020-04-09,333281014,487533,24195,"West Virginia, US",35879.0,2572.0,31818.285714285714,2168.4285714285716
West Virginia,US,38.4758406,-80.8408415,2020-04-10,333281014,521369,26782,"West Virginia, US",33836.0,2587.0,31989.0,2308.5714285714284
West Virginia,US,38.4758406,-80.8408415,2020-04-11,333281014,551189,28975,"West Virginia, US",29820.0,2193.0,31775.428571428572,2367.5714285714284
West Virginia,US,38.4758406,-80.8408415,2020-04-12,333281014,578692,31022,"West Virginia, US",27503.0,2047.0,31377.428571428572,2399.714285714286
West Virginia,US,38.4758406,-80.8408415,2020-04-13,333281014,606549,33312,"West Virginia, US",27857.0,2290.0,30830.14285714286,2430.4285714285716
West Virginia,US,38.4758406,-80.8408415,2020-04-14,333281014,636380,36035,"West Virginia, US",29831.0,2723.0,30809.85714285714,2401.0
West Virginia,US,38.4758406,-80.8408415,2020-04-15,333281014,660622,38712,"West Virginia, US",24242.0,2677.0,29852.571428571428,2441.285714285714
West Virginia,US,38.4758406,-80.8408415,2020-04-16,333281014,690560,41067,"West Virginia, US",29938.0,2355.0,29003.85714285714,2410.285714285714
West Virginia,US,38.4758406,-80.8408415,2020-04-17,333281014,723501,43339,"West Virginia, US",32941.0,2272.0,28876.0,2365.285714285714
West Virginia,US,38.4758406,-80.8408415,2020-04-18,333281014,751904,45435,"West Virginia, US",28403.0,2096.0,28673.571428571428,2351.4285714285716
West Virginia,US,38.4758406,-80.8408415,2020-04-19,333281014,777766,47544,"West Virginia, US",25862.0,2109.0,28439.14285714286,2360.285714285714
West Virginia,US,38.4758406,-80.8408415,2020-04-20,333281014,807601,49991,"West Virginia, US",29835.0,2447.0,28721.714285714286,2382.714285714286
West Virginia,US,38.4758406,-80.8408415,2020-04-21,333281014,836541,52955,"West Virginia, US",28940.0,2964.0,28594.428571428572,2417.1428571428573
West Virginia,US,38.4758406,-80.8408415,2020-04-22,333281014,863474,55361,"West Virginia, US",26933.0,2406.0,28978.85714285714,2378.4285714285716
West Virginia,US,38.4758406,-80.8408415,2020-04-23,333281014,897158,58165,"West Virginia, US",33684.0,2804.0,29514.0,2442.5714285714284
West Virginia,US,38.4758406,-80.8408415,2020-04-24,333281014,929854,60648,"West Virginia, US",32696.0,2483.0,29479.0,2472.714285714286
West Virginia,US,38.4758406,-80.8408415,2020-04-25,333281014,959675,61822,"West Virginia, US",29821.0,1174.0,29681.571428571428,2341.0
West Virginia,US,38.4758406,-80.8408415,2020-04-26,333281014,986529,63426,"West Virginia, US",26854.0,1604.0,29823.285714285714,2268.8571428571427
West Virginia,US,38.4758406,-80.8408415,2020-04-27,333281014,1010342,64796,"West Virginia, US",23813.0,1370.0,28963.0,2115.0
West Virginia,US,38.4758406,-80.8408415,2020-04-28,333281014,1034933,67110,"West Virginia, US",24591.0,2314.0,28341.714285714286,2022.142857142857
West Virginia,US,38.4758406,-80.8408415,2020-04-29,333281014,1061762,69684,"West Virginia, US",26829.0,2574.0,28326.85714285714,2046.142857142857
West Virginia,US,38.4758406,-80.8408415,2020-04-30,333281014,1091055,72175,"West Virginia, US",29293.0,2491.0,27699.571428571428,2001.4285714285713
West Virginia,US,38.4758406,-80.8408415,2020-05-01,333281014,1126666,74056,"West Virginia, US",35611.0,1881.0,28116.0,1915.4285714285713
West Virginia,US,38.4758406,-80.8408415,2020-05-02,333281014,1155075,75791,"West Virginia, US",28409.0,1735.0,27914.285714285714,1995.5714285714287
West Virginia,US,38.4758406,-80.8408415,2020-05-03,333281014,1179511,76989,"West Virginia, US",24436.0,1198.0,27568.85714285714,1937.5714285714287
West Virginia,US,38.4758406,-80.8408415,2020-05-04,333281014,1203819,78440,"West Virginia, US",24308.0,1451.0,27639.571428571428,1949.142857142857
West Virginia,US,38.4758406,-80.8408415,2020-05-05,333281014,1228523,80744,"West Virginia, US",24704.0,2304.0,27655.714285714286,1947.7142857142858
West Virginia,US,38.4758406,-80.8408415,2020-05-06,333281014,1253205,83252,"West Virginia, US",24682.0,2508.0,27349.0,1938.2857142857142
West Virginia,US,38.4758406,-80.8408415,2020-05-07,333281014,1281387,85249,"West Virginia, US",28182.0,1997.0,27190.285714285714,1867.7142857142858
West Virginia,US,38.4758406,-80.8408415,2020-05-08,333281014,1308610,87067,"West Virginia, US",27223.0,1818.0,25992.0,1858.7142857142858
West Virginia,US,38.4758406,-80.8408415,2020-05-09,333281014,1333784,88628,"West Virginia, US",25174.0,1561.0,25529.85714285714,1833.857142857143
West Virginia,US,38.4758406,-80.8408415,2020-05-10,333281014,1353431,89566,"West Virginia, US",19647.0,938.0,24845.714285714286,1796.7142857142858
West Virginia,US,38.4758406,-80.8408415,2020-05-11,333281014,1371309,90617,"West Virginia, US",17878.0,1051.0,23927.14285714286,1739.5714285714287
West Virginia,US,38.4758406,-80.8408415,2020-05-12,333281014,1395010,92290,"West Virginia, US",23701.0,1673.0,23783.85714285714,1649.4285714285713
West Virginia,US,38.4758406,-80.8408415,2020-05-13,333281014,1415386,94047,"West Virginia, US",20376.0,1757.0,23168.714285714286,1542.142857142857
West Virginia,US,38.4758406,-80.8408415,2020-05-14,333281014,1442754,95810,"West Virginia, US",27368.0,1763.0,23052.428571428572,1508.7142857142858
West Virginia,US,38.4758406,-80.8408415,2020-05-15,333281014,1467840,97486,"West Virginia, US",25086.0,1676.0,22747.14285714286,1488.4285714285713
West Virginia,US,38.4758406,-80.8408415,2020-05-16,333281014,1492758,98831,"West Virginia, US",24918.0,1345.0,22710.571428571428,1457.5714285714287
West Virginia,US,38.4758406,-80.8408415,2020-05-17,333281014,1512221,99599,"West Virginia, US",19463.0,768.0,22684.285714285714,1433.2857142857142
West Virginia,US,38.4758406,-80.8408415,2020-05-18,333281014,1536784,96889,"West Virginia, US",24563.0,-2710.0,23639.285714285714,896.0
West Virginia,US,38.4758406,-80.8408415,2020-05-19,333281014,1557926,98406,"West Virginia, US",21142.0,1517.0,23273.714285714286,873.7142857142857
West Virginia,US,38.4758406,-80.8408415,2020-05-20,333281014,1580501,99809,"West Virginia, US",22575.0,1403.0,23587.85714285714,823.1428571428571
West Virginia,US,38.4758406,-80.8408415,2020-05-21,333281014,1606790,100961,"West Virginia, US",26289.0,1152.0,23433.714285714286,735.8571428571429
West Virginia,US,38.4758406,-80.8408415,2020-05-22,333281014,1630761,102265,"West Virginia, US",23971.0,1304.0,23274.428571428572,682.7142857142857
West Virginia,US,38.4758406,-80.8408415,2020-05-23,333281014,1652242,103354,"West Virginia, US",21481.0,1089.0,22783.428571428572,646.1428571428571
West Virginia,US,38.4758406,-80.8408415,2020-05-24,333281014,1672757,103935,"West Virginia, US",20515.0,581.0,22933.714285714286,619.4285714285714
West Virginia,US,38.4758406,-80.8408415,2020-05-25,333281014,1691132,104486,"West Virginia, US",18375.0,551.0,22049.714285714286,1085.2857142857142
West Virginia,US,38.4758406,-80.8408415,2020-05-26,333281014,1710472,105172,"West Virginia, US",19340.0,686.0,21792.285714285714,966.5714285714286
West Virginia,US,38.4758406,-80.8408415,2020-05-27,333281014,1729771,106742,"West Virginia, US",19299.0,1570.0,21324.285714285714,990.4285714285714
West Virginia,US,38.4758406,-80.8408415,2020-05-28,333281014,1751682,107930,"West Virginia, US",21911.0,1188.0,20698.85714285714,995.5714285714286
West Virginia,US,38.4758406,-80.8408415,2020-05-29,333281014,1776735,109032,"West Virginia, US",25053.0,1102.0,20853.428571428572,966.7142857142857
West Virginia,US,38.4758406,-80.8408415,2020-05-30,333281014,1801364,109948,"West Virginia, US",24629.0,916.0,21303.14285714286,942.0
West Virginia,US,38.4758406,-80.8408415,2020-05-31,333281014,1821180,110593,"West Virginia, US",19816.0,645.0,21203.285714285714,951.1428571428571
West Virginia,US,38.4758406,-80.8408415,2020-06-01,333281014,1838611,111380,"West Virginia, US",17431.0,787.0,21068.428571428572,984.8571428571429
West Virginia,US,38.4758406,-80.8408415,2020-06-02,333281014,1860809,112455,"West Virginia, US",22198.0,1075.0,21476.714285714286,1040.4285714285713
West Virginia,US,38.4758406,-80.8408415,2020-06-03,333281014,1880590,113439,"West Virginia, US",19781.0,984.0,21545.571428571428,956.7142857142857
West Virginia,US,38.4758406,-80.8408415,2020-06-04,333281014,1902472,114418,"West Virginia, US",21882.0,979.0,21541.428571428572,926.8571428571429
West Virginia,US,38.4758406,-80.8408415,2020-06-05,333281014,1928354,115265,"West Virginia, US",25882.0,847.0,21659.85714285714,890.4285714285714
West Virginia,US,38.4758406,-80.8408415,2020-06-06,333281014,1949887,115933,"West Virginia, US",21533.0,668.0,21217.571428571428,855.0
West Virginia,US,38.4758406,-80.8408415,2020-06-07,333281014,1968241,116372,"West Virginia, US",18354.0,439.0,21008.714285714286,825.5714285714286
West Virginia,US,38.4758406,-80.8408415,2020-06-08,333281014,1985043,116902,"West Virginia, US",16802.0,530.0,20918.85714285714,788.8571428571429
West Virginia,US,38.4758406,-80.8408415,2020-06-09,333281014,2003596,117834,"West Virginia, US",18553.0,932.0,20398.14285714286,768.4285714285714
West Virginia,US,38.4758406,-80.8408415,2020-06-10,333281014,2024694,118745,"West Virginia, US",21098.0,911.0,20586.285714285714,758.0
West Virginia,US,38.4758406,-80.8408415,2020-06-11,333281014,2048068,119601,"West Virginia, US",23374.0,856.0,20799.428571428572,740.4285714285714
West Virginia,US,38.4758406,-80.8408415,2020-06-12,333281014,2073119,120409,"West Virginia, US",25051.0,808.0,20680.714285714286,734.8571428571429
West Virginia,US,38.4758406,-80.8408415,2020-06-13,333281014,2098845,121173,"West Virginia, US",25726.0,764.0,21279.714285714286,748.5714285714286
West Virginia,US,38.4758406,-80.8408415,2020-06-14,333281014,2118438,121473,"West Virginia, US",19593.0,300.0,21456.714285714286,728.7142857142857
West Virginia,US,38.4758406,-80.8408415,2020-06-15,333281014,2137861,121863,"West Virginia, US",19423.0,390.0,21831.14285714286,708.7142857142857
West Virginia,US,38.4758406,-80.8408415,2020-06-16,333281014,2161581,122698,"West Virginia, US",23720.0,835.0,22569.285714285714,694.8571428571429
West Virginia,US,38.4758406,-80.8408415,2020-06-17,333281014,2188599,123422,"West Virginia, US",27018.0,724.0,23415.0,668.1428571428571
West Virginia,US,38.4758406,-80.8408415,2020-06-18,333281014,2217328,124122,"West Virginia, US",28729.0,700.0,24180.0,645.8571428571429
West Virginia,US,38.4758406,-80.8408415,2020-06-19,333281014,2248705,124786,"West Virginia, US",31377.0,664.0,25083.714285714286,625.2857142857143
West Virginia,US,38.4758406,-80.8408415,2020-06-20,333281014,2282439,125370,"West Virginia, US",33734.0,584.0,26227.714285714286,599.5714285714286
West Virginia,US,38.4758406,-80.8408415,2020-06-21,333281014,2307940,125673,"West Virginia, US",25501.0,303.0,27071.714285714286,600.0
West Virginia,US,38.4758406,-80.8408415,2020-06-22,333281014,2339701,126068,"West Virginia, US",31761.0,395.0,28834.285714285714,600.7142857142857
West Virginia,US,38.4758406,-80.8408415,2020-06-23,333281014,2376755,126918,"West Virginia, US",37054.0,850.0,30739.14285714286,602.8571428571429
West Virginia,US,38.4758406,-80.8408415,2020-06-24,333281014,2412408,127680,"West Virginia, US",35653.0,762.0,31972.714285714286,608.2857142857143
West Virginia,US,38.4758406,-80.8408415,2020-06-25,333281014,2454016,126367,"West Virginia, US",41608.0,-1313.0,33812.57142857143,320.7142857142857
West Virginia,US,38.4758406,-80.8408415,2020-06-26,333281014,2500521,127005,"West Virginia, US",46505.0,638.0,35973.71428571428,317.0
West Virginia,US,38.4758406,-80.8408415,2020-06-27,333281014,2542580,127490,"West Virginia, US",42059.0,485.0,37163.0,302.85714285714283
West Virginia,US,38.4758406,-80.8408415,2020-06-28,333281014,2584730,127787,"West Virginia, US",42150.0,297.0,39541.42857142857,302.0
