Province_State,Country_Region,Lat,Long,Date,Confirmed,Deaths,Combined_Key,Population,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Zhejiang,China,29.1832,120.0934,2020-01-22,10,0,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-01-23,27,0,"Zhejiang, China",54426891.0,17,0,0,0
Zhejiang,China,29.1832,120.0934,2020-01-24,43,0,"Zhejiang, China",54426891.0,16,0,0,0
Zhejiang,China,29.1832,120.0934,2020-01-25,62,0,"Zhejiang, China",54426891.0,19,0,0,0
Zhejiang,China,29.1832,120.0934,2020-01-26,104,0,"Zhejiang, China",54426891.0,42,0,0,0
Zhejiang,China,29.1832,120.0934,2020-01-27,128,0,"Zhejiang, China",54426891.0,24,0,0,0
Zhejiang,China,29.1832,120.0934,2020-01-28,173,0,"Zhejiang, China",54426891.0,45,0,0,0
Zhejiang,China,29.1832,120.0934,2020-01-29,296,0,"Zhejiang, China",54426891.0,123,0,40,0
Zhejiang,China,29.1832,120.0934,2020-01-30,428,0,"Zhejiang, China",54426891.0,132,0,57,0
Zhejiang,China,29.1832,120.0934,2020-01-31,538,0,"Zhejiang, China",54426891.0,110,0,70,0
Zhejiang,China,29.1832,120.0934,2020-02-01,599,0,"Zhejiang, China",54426891.0,61,0,76,0
Zhejiang,China,29.1832,120.0934,2020-02-02,661,0,"Zhejiang, China",54426891.0,62,0,79,0
Zhejiang,China,29.1832,120.0934,2020-02-03,724,0,"Zhejiang, China",54426891.0,63,0,85,0
Zhejiang,China,29.1832,120.0934,2020-02-04,829,0,"Zhejiang, China",54426891.0,105,0,93,0
Zhejiang,China,29.1832,120.0934,2020-02-05,895,0,"Zhejiang, China",54426891.0,66,0,85,0
Zhejiang,China,29.1832,120.0934,2020-02-06,954,0,"Zhejiang, China",54426891.0,59,0,75,0
Zhejiang,China,29.1832,120.0934,2020-02-07,1006,0,"Zhejiang, China",54426891.0,52,0,66,0
Zhejiang,China,29.1832,120.0934,2020-02-08,1048,0,"Zhejiang, China",54426891.0,42,0,64,0
Zhejiang,China,29.1832,120.0934,2020-02-09,1075,0,"Zhejiang, China",54426891.0,27,0,59,0
Zhejiang,China,29.1832,120.0934,2020-02-10,1092,0,"Zhejiang, China",54426891.0,17,0,52,0
Zhejiang,China,29.1832,120.0934,2020-02-11,1117,0,"Zhejiang, China",54426891.0,25,0,41,0
Zhejiang,China,29.1832,120.0934,2020-02-12,1131,0,"Zhejiang, China",54426891.0,14,0,33,0
Zhejiang,China,29.1832,120.0934,2020-02-13,1145,0,"Zhejiang, China",54426891.0,14,0,27,0
Zhejiang,China,29.1832,120.0934,2020-02-14,1155,0,"Zhejiang, China",54426891.0,10,0,21,0
Zhejiang,China,29.1832,120.0934,2020-02-15,1162,0,"Zhejiang, China",54426891.0,7,0,16,0
Zhejiang,China,29.1832,120.0934,2020-02-16,1167,0,"Zhejiang, China",54426891.0,5,0,13,0
Zhejiang,China,29.1832,120.0934,2020-02-17,1171,0,"Zhejiang, China",54426891.0,4,0,11,0
Zhejiang,China,29.1832,120.0934,2020-02-18,1172,0,"Zhejiang, China",54426891.0,1,0,7,0
Zhejiang,China,29.1832,120.0934,2020-02-19,1174,0,"Zhejiang, China",54426891.0,2,0,6,0
Zhejiang,China,29.1832,120.0934,2020-02-20,1175,1,"Zhejiang, China",54426891.0,1,1,4,0
Zhejiang,China,29.1832,120.0934,2020-02-21,1203,1,"Zhejiang, China",54426891.0,28,0,6,0
Zhejiang,China,29.1832,120.0934,2020-02-22,1205,1,"Zhejiang, China",54426891.0,2,0,6,0
Zhejiang,China,29.1832,120.0934,2020-02-23,1205,1,"Zhejiang, China",54426891.0,0,0,5,0
Zhejiang,China,29.1832,120.0934,2020-02-24,1205,1,"Zhejiang, China",54426891.0,0,0,4,0
Zhejiang,China,29.1832,120.0934,2020-02-25,1205,1,"Zhejiang, China",54426891.0,0,0,4,0
Zhejiang,China,29.1832,120.0934,2020-02-26,1205,1,"Zhejiang, China",54426891.0,0,0,4,0
Zhejiang,China,29.1832,120.0934,2020-02-27,1205,1,"Zhejiang, China",54426891.0,0,0,4,0
Zhejiang,China,29.1832,120.0934,2020-02-28,1205,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-02-29,1205,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-03-01,1205,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-03-02,1206,1,"Zhejiang, China",54426891.0,1,0,0,0
Zhejiang,China,29.1832,120.0934,2020-03-03,1213,1,"Zhejiang, China",54426891.0,7,0,1,0
Zhejiang,China,29.1832,120.0934,2020-03-04,1213,1,"Zhejiang, China",54426891.0,0,0,1,0
Zhejiang,China,29.1832,120.0934,2020-03-05,1215,1,"Zhejiang, China",54426891.0,2,0,1,0
Zhejiang,China,29.1832,120.0934,2020-03-06,1215,1,"Zhejiang, China",54426891.0,0,0,1,0
Zhejiang,China,29.1832,120.0934,2020-03-07,1215,1,"Zhejiang, China",54426891.0,0,0,1,0
Zhejiang,China,29.1832,120.0934,2020-03-08,1215,1,"Zhejiang, China",54426891.0,0,0,1,0
Zhejiang,China,29.1832,120.0934,2020-03-09,1215,1,"Zhejiang, China",54426891.0,0,0,1,0
Zhejiang,China,29.1832,120.0934,2020-03-10,1215,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-03-11,1215,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-03-12,1215,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-03-13,1215,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-03-14,1227,1,"Zhejiang, China",54426891.0,12,0,1,0
Zhejiang,China,29.1832,120.0934,2020-03-15,1231,1,"Zhejiang, China",54426891.0,4,0,2,0
Zhejiang,China,29.1832,120.0934,2020-03-16,1231,1,"Zhejiang, China",54426891.0,0,0,2,0
Zhejiang,China,29.1832,120.0934,2020-03-17,1232,1,"Zhejiang, China",54426891.0,1,0,2,0
Zhejiang,China,29.1832,120.0934,2020-03-18,1232,1,"Zhejiang, China",54426891.0,0,0,2,0
Zhejiang,China,29.1832,120.0934,2020-03-19,1233,1,"Zhejiang, China",54426891.0,1,0,2,0
Zhejiang,China,29.1832,120.0934,2020-03-20,1234,1,"Zhejiang, China",54426891.0,1,0,2,0
Zhejiang,China,29.1832,120.0934,2020-03-21,1236,1,"Zhejiang, China",54426891.0,2,0,1,0
Zhejiang,China,29.1832,120.0934,2020-03-22,1238,1,"Zhejiang, China",54426891.0,2,0,1,0
Zhejiang,China,29.1832,120.0934,2020-03-23,1238,1,"Zhejiang, China",54426891.0,0,0,1,0
Zhejiang,China,29.1832,120.0934,2020-03-24,1240,1,"Zhejiang, China",54426891.0,2,0,1,0
Zhejiang,China,29.1832,120.0934,2020-03-25,1241,1,"Zhejiang, China",54426891.0,1,0,1,0
Zhejiang,China,29.1832,120.0934,2020-03-26,1243,1,"Zhejiang, China",54426891.0,2,0,1,0
Zhejiang,China,29.1832,120.0934,2020-03-27,1247,1,"Zhejiang, China",54426891.0,4,0,1,0
Zhejiang,China,29.1832,120.0934,2020-03-28,1251,1,"Zhejiang, China",54426891.0,4,0,2,0
Zhejiang,China,29.1832,120.0934,2020-03-29,1254,1,"Zhejiang, China",54426891.0,3,0,2,0
Zhejiang,China,29.1832,120.0934,2020-03-30,1255,1,"Zhejiang, China",54426891.0,1,0,2,0
Zhejiang,China,29.1832,120.0934,2020-03-31,1257,1,"Zhejiang, China",54426891.0,2,0,2,0
Zhejiang,China,29.1832,120.0934,2020-04-01,1257,1,"Zhejiang, China",54426891.0,0,0,2,0
Zhejiang,China,29.1832,120.0934,2020-04-02,1258,1,"Zhejiang, China",54426891.0,1,0,2,0
Zhejiang,China,29.1832,120.0934,2020-04-03,1260,1,"Zhejiang, China",54426891.0,2,0,1,0
Zhejiang,China,29.1832,120.0934,2020-04-04,1262,1,"Zhejiang, China",54426891.0,2,0,1,0
Zhejiang,China,29.1832,120.0934,2020-04-05,1263,1,"Zhejiang, China",54426891.0,1,0,1,0
Zhejiang,China,29.1832,120.0934,2020-04-06,1264,1,"Zhejiang, China",54426891.0,1,0,1,0
Zhejiang,China,29.1832,120.0934,2020-04-07,1265,1,"Zhejiang, China",54426891.0,1,0,1,0
Zhejiang,China,29.1832,120.0934,2020-04-08,1266,1,"Zhejiang, China",54426891.0,1,0,1,0
Zhejiang,China,29.1832,120.0934,2020-04-09,1267,1,"Zhejiang, China",54426891.0,1,0,1,0
Zhejiang,China,29.1832,120.0934,2020-04-10,1267,1,"Zhejiang, China",54426891.0,0,0,1,0
Zhejiang,China,29.1832,120.0934,2020-04-11,1267,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-04-12,1267,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-04-13,1267,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-04-14,1267,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-04-15,1268,1,"Zhejiang, China",54426891.0,1,0,0,0
Zhejiang,China,29.1832,120.0934,2020-04-16,1268,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-04-17,1268,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-04-18,1268,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-04-19,1268,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-04-20,1268,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-04-21,1268,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-04-22,1268,1,"Zhejiang, China",54426891.0,0,0,0,0
Zhejiang,China,29.1832,120.0934,2020-04-23,1268,1,"Zhejiang, China",54426891.0,0,0,0,0
